member_id,congress,departure_date,destination,sponsor,document_id,document_url
G000584,116,2019-04-13,"London, United Kingdom",Global Women's Innovation Network,500020964,https://disclosures-clerk.house.gov/gtimages/ST/2019/500020964.pdf
G000584,116,2019-03-18,"Sunnyvale, CA",Information Technology and Innovation Foundation,500020810,https://disclosures-clerk.house.gov/gtimages/ST/2019/500020810.pdf
G000584,116,2019-03-15,"Beijing, China",National Committee on U.S.-China Relations,500020844,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020844.pdf
G000584,116,2019-03-15,"Hangzhou, China",National Committee on U.S.-China Relations,500020844,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020844.pdf
G000584,116,2019-03-15,"Hong Kong, China",National Committee on U.S.-China Relations,500020844,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020844.pdf
G000584,115,2018-05-26,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation,500019887,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019887.pdf
G000584,115,2018-05-21,"St. Louis, MO",US Association of Former Members of Congress,500019798,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019798.pdf
G000584,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019771,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019771.pdf
G000584,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019786,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019786.pdf
G000584,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019841,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019841.pdf
G000584,115,2018-03-08,"Cambridge, MD",Congressional Institute,500019104,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019104.pdf
G000584,115,2017-09-30,"Reykavik, Iceland",US Association of Former Members,500018361,https://disclosures-clerk.house.gov/gtimages/ST/2017/500018361.pdf
G000584,115,2017-09-30,"Selfoss, Iceland",US Association of Former Members,500018361,https://disclosures-clerk.house.gov/gtimages/ST/2017/500018361.pdf
G000584,115,2017-08-06,"Jerusalem, Israel",American Israel Education Foundation,500018047,https://disclosures-clerk.house.gov/gtimages/MT/2017/500018047.pdf
G000584,115,2017-08-06,"Tel Aviv, Israel",American Israel Education Foundation,500018047,https://disclosures-clerk.house.gov/gtimages/MT/2017/500018047.pdf
S001199,118,2023-10-20,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,500027217,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027217.pdf
S001199,118,2023-08-23,"Boston, MA",Center Forward,500026899,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026899.pdf
S001199,118,2023-06-10,"Leesburg, VA",Partnership for a Secure America and Carnegie Corporation of New York,500026486,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026486.pdf
S001199,118,2023-06-01,"New York, NY",Third Way Foundation,500026461,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026461.pdf
S001199,118,2023-04-11,"Warrenton, VA","Postsecondary National Policy Institute, the Bill & Melinda Gates Foundation, and the Kresge Foundat",500026061,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026061.pdf
S001199,117,2022-10-13,"Richmond, VA",Heritage Foundation,500025466,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025466.pdf
S001199,117,2022-06-01,"Williamsburg, VA",Congressional Institute,500024741,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024741.pdf
S001199,117,2022-05-04,"Williamsburg, VA",Congressional Institute,500024355,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024355.pdf
S001199,117,2021-10-15,"Philadelphia, PA",Pew Charitable Trust,500023546,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023546.pdf
S001199,117,2021-06-17,"Cambridge, MD",Congressional Institute,500023138,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023138.pdf
S001199,116,2019-06-05,"Hot Springs, VA",Congressional Institute,500021681,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021681.pdf
S001199,116,2019-05-29,"Stevensville, MD",Postsecondary National policy Institute; Bill and Melinda Gates Foundation; Kresge Foundation; Lumin,500021475,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021475.pdf
S001199,116,2019-05-02,"Baltimore, MD",Congressional Institute,500021093,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021093.pdf
S001199,116,2019-04-24,"Cambridge, MA","Massachusetts Insititute of Technology; ClearPath, Inc.",500021026,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021026.pdf
S001199,116,2019-04-23,"St. Louis, MO",Postsecondary National Policy Institute; Bill and Melinda Gates Foundation; Kresge Foundation; Lumin,500021076,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021076.pdf
S001199,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019705,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019705.pdf
S001199,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019815,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019815.pdf
S001199,115,2018-05-10,"Cambridge, MD",Congressional Institute,500019672,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019672.pdf
S001199,115,2018-03-08,"New York, NY",United Nations Foundation,500019039,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019039.pdf
S001199,115,2018-03-08,"New York, New York",United Nations Foundation,500019304,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019304.pdf
B000574,118,2023-11-05,"Phoenix, AZ",Mpact,500027284,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027284.pdf
B000574,118,2023-08-26,Norway,Aspen Institute Inc.,500027123,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027123.pdf
B000574,118,2023-06-10,"Leesburg, VA","Partnership for a Secure America, with financial support from Carnegie Corporation of New",500026499,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026499.pdf
B000574,118,2023-05-19,"Lovettsville, VA",American Society for the Prevention of Cruelty to Animals,500026452,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026452.pdf
B000574,118,2023-04-09,Italy,"Aspen Institute, Inc., and the Rockefeller Foundation",500026181,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026181.pdf
B000574,118,2023-02-19,Columbia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",500025942,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025942.pdf
B000574,118,2023-02-19,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",500025942,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025942.pdf
B000574,117,2022-05-31,"Geneva, Switzerland","Aspen Institute, Inc., Democracy Fund, Henry Luce Foundation, Rockefeller Brothers Fund, and Carnegi",500024707,https://disclosures-clerk.house.gov/gtimages/MT/2022/500024707.pdf
B000574,117,2022-05-31,Geneva,The Aspen Institute,500024699,https://disclosures-clerk.house.gov/gtimages/MT/2022/500024699.pdf
B000574,116,2020-01-04,"San Diego, CA",National Railroad Construction and Maintenance Association,500022727,https://disclosures-clerk.house.gov/gtimages/ST/2020/500022727.pdf
B000574,116,2020-01-04,"San Diego, CA",National Railroad Construction and Maintenance Association,500022751,https://disclosures-clerk.house.gov/gtimages/ST/2020/500022751.pdf
B000574,116,2019-10-18,"Princeton, NJ",The James Beard Foundation,500022385,https://disclosures-clerk.house.gov/gtimages/MT/2019/500022385.pdf
B000574,116,2019-10-18,"Princeton, NJ",The James Beard Foundation,500022444,https://disclosures-clerk.house.gov/gtimages/MT/2019/500022444.pdf
B000574,116,2019-08-22,"Miami, FL","Florida East Coast Industries, LLC",500021998,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021998.pdf
B000574,115,2018-10-21,"Pittsburgh, PA",Rail-Volution,500020454,https://disclosures-clerk.house.gov/gtimages/MT/2018/500020454.pdf
B000574,115,2018-10-21,"Pittsburgh, PA",Rail-volution,500020568,https://disclosures-clerk.house.gov/gtimages/MT/2018/500020568.pdf
B000574,115,2018-05-30,"Los Angeles, CA",Information Technology and Innovation Foundation,500019829,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019829.pdf
B000574,115,2018-05-30,"San Diego, CA",Information Technology and Innovation Foundation,500019829,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019829.pdf
B000574,115,2018-05-25,"Helsinki, Finland",The Aspen Institute; Carnegie Corporation of New York; Henry Luce Foundation; Democracy Fund; Rockef,500019835,https://disclosures-clerk.house.gov/gtimages/MT/2018/500019835.pdf
B000574,115,2018-05-25,"Tallinn, Estonia",The Aspen Institute; Carnegie Corporation of New York; Henry Luce Foundation; Democracy Fund; Rockef,500019835,https://disclosures-clerk.house.gov/gtimages/MT/2018/500019835.pdf
C001108,118,2023-10-11,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,500027186,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027186.pdf
C001108,118,2023-10-11,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,500027198,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027198.pdf
C001108,118,2023-09-07,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",500027112,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027112.pdf
C001108,118,2023-08-14,"Altoona, IA","Iowa Renewable Fuels Association, Biodiesel Coalition",500026944,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026944.pdf
C001108,118,2023-08-14,"Bloomington, MN","Iowa Renewable Fuels Association, Biodiesel Coalition",500026944,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026944.pdf
C001108,118,2023-08-14,"Mason City, IA","Iowa Renewable Fuels Association, Biodiesel Coalition",500026944,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026944.pdf
C001108,118,2023-08-07,"Stanford, CA",Stanford University,500026791,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026791.pdf
C001108,118,2023-08-02,"Cambridge, MD","American Accountability Foundation, Heritage Foundation, and Conservative Partnership",500026705,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026705.pdf
C001108,118,2023-06-16,"Baltimore, MD",Clean,500026567,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026567.pdf
C001108,118,2023-06-16,"Baltimore, MD","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag Processing, Inc., Cle",500026549,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026549.pdf
C001108,118,2023-06-10,"Leesburg, VA",Partnership for a Secure America and Carnegie Corporation of New York,500027147,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027147.pdf
C001108,118,2023-04-01,France,Global Women's Innovation Network,500026110,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026110.pdf
C001108,118,2023-03-13,"Cambridge, MD","Conservative Partnership Institute, Inc., Institute for Sound Public Policy, and Center for",500026007,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026007.pdf
C001108,117,2022-12-12,"Cambridge, MD",American Accountability Foundation,500025728,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025728.pdf
C001108,117,2022-11-28,"Cambridge, MD","American Accountability Foundation,",500025747,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025747.pdf
C001108,117,2022-11-10,"New Orleans, LA",Louisiana Sugar Foundation,500025618,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025618.pdf
C001108,117,2022-11-10,"Thibodaux, LA",Louisiana Sugar Foundation,500025618,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025618.pdf
C001108,117,2022-10-11,"Clewiston, FL",South Florida Agricultural Foundation,500025483,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025483.pdf
C001108,117,2022-10-11,"West Palm Beach, FL",South Florida Agricultural Foundation,500025483,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025483.pdf
C001108,117,2022-09-07,"San Francisco, CA",Global Women's Innovation Network,500025300,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025300.pdf
F000462,118,2023-06-23,Israel,Israel Policy Forum,500026587,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026587.pdf
F000462,118,2023-06-16,"Baltimore, MD","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag Processing, Inc.,",500026540,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026540.pdf
F000462,118,2023-04-01,Madagascar,United Nations Foundation and Eleanor Crook Foundation,500026098,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026098.pdf
F000462,117,2022-09-01,Israel,American Israel Education Foundation,500025345,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025345.pdf
F000462,116,2019-11-07,"New York, NY",Women's High Tech Coalition,500022559,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022559.pdf
