hearing_congress,hearing_chamber,hearing_committee_id,hearing_date,hearing_description
116,house,HSAG,2019-07-16,&quot;Reviewing the State of the U.S. Livestock and Poultry Economies&quot;
116,house,HSAG,2019-07-11,"&quot;Building Opportunity in Rural America through Affordable, Reliable and High-Speed Broadband&quot;"
116,house,HSAG,2019-06-26,&quot;Brexit and Other International Developments Affecting U.S. Derivatives Markets&quot;
116,house,HSAG,2019-06-25,&quot;Managing for Soil Health: Securing the Conservation and Economic Benefits of Healthy Soils&quot;
116,house,HSAG,2019-06-20,&quot;The Potential Implications of Eliminating Broad-Based Categorical Eligibility for SNAP Households&quot;
116,house,HSAG,2019-06-20,&quot;How Farm Policy Helps Farmers in Adverse Conditions&quot;
116,house,HSAG,2019-06-12,"&quot;Increasing Resiliency, Mitigating Risk: Examining the Research and Extension Needs of Producers&quot;"
116,house,HSAG,2019-06-11,&quot;The State of U.S. Agricultural Products in International Markets&quot;
116,house,HSAG,2019-06-05,&quot;Examining the Impacts of Relocating USDA Research Agencies on Agriculture Research&quot;
116,house,HSAG,2019-05-21,&quot;To Review Animal Pest and Disease Prevention and Response Capabilities&quot;
116,house,HSAG,2019-05-15,To Review USDA Farm Bill Conservation Programs
116,house,HSAG,2019-05-09,Reviewing the State of the Farm Economy
116,house,HSAG,2019-05-01,"To receive testimony from Chairman J. Christopher Giancarlo, Commodity Futures Trading Commission, on &quot;The State of the CFTC&quot;"
116,house,HSAG,2019-04-30,&quot;Reviewing the State of the Dairy Economy&quot;
116,house,HSAG,2019-04-03,Examining the Proposed ABAWD Rule and its Impact on Hunger and Hardship
116,house,HSAG,2019-02-27,"To receive testimony from Secretary Sonny Perdue, U.S. Department of Agriculture on &quot;The State of the Rural Economy&quot;."
116,house,HSAG,2019-02-27,the Budget Views and Estimates Letter of the Committee on Agriculture for the agencies and programs under the jurisdiction of the Committee for fiscal year 2020
116,house,HSAG,2019-02-07,organizational matters of the Committee on Agriculture for the 116th Congress
116,house,HSAP,2020-12-08,The Impact on Women Seeking an Abortion but are Denied Because of an Inability to Pay
116,house,HSAP,2020-09-30,Indian Country COVID-19 Response and Update
116,house,HSAP,2020-07-15,"FY 2021 Homeland Security, Financial Services and General Government Appropriations Bills, and the Revised 302bs"
116,house,HSAP,2020-07-14,"Markup of FY2021 Defense, Commerce, Justice, Science, and Related Agencies and Transportation, Housing and Urban Development, and Related Agencies Appropriations Bills"
116,house,HSAP,2020-07-13,"FY2021 Energy and Water Development, and Related Agencies, and Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills"
116,house,HSAP,2020-07-10,"FY 2021 Interior and the Environment, and Related Agencies, and the Legislative Branch Appropriations Bills."
116,house,HSAP,2020-07-09,"FY2021 Report on the Suballocation of Budget Allocations, State and Foreign Operations, Military Construction and Veterans Affairs, and Agriculture Appropriations Bills"
116,house,HSAP,2020-07-08,FY 2021 Defense Subcommittee Markup
116,house,HSAP,2020-07-08,FY 2021 Financial Services and General Government Subcommittee Markup
116,house,HSAP,2020-07-08,"FY 2021 Departments of Transportation, and House and Urban Development, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-08,"FY 2021 Commerce, Justice, Science, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-07,"FY 2021 Departments of Labor, Health and Human Services, Education, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-07,"FY 2021 Energy and Water Development, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-07,FY 2021 Legislative Branch Subcommittee Markup
116,house,HSAP,2020-07-07,"FY 2021 Interior, Environment, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-07,FY 2021 Homeland Security Subcommittee Markup Meeting
116,house,HSAP,2020-07-07,FY 2021 Homeland Security Subcommittee Markup
116,house,HSAP,2020-07-06,"FY 2021 Military Construction, Veteran Affairs, and Related Agencies Subcommittee Markup Meeting"
116,house,HSAP,2020-07-06,"FY2021 Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee Markup"
116,house,HSAP,2020-07-06,"Fy 2021 State, Foreign Operations, and Related Programs Subcommittee Markup Meeting"
116,house,HSAP,2020-06-23,Member Day Testimony for FY21 Appropriations
116,house,HSAP,2020-06-11,Indian Health Service Covid-19 Response
116,house,HSAP,2020-06-04,COVID-19 Response
116,house,HSAP,2020-05-19,Department of Veterans Affairs - Response to COVID-19
116,house,HSAP,2020-05-06,COVID-19 Response
116,house,HSAP,2020-03-25,Member Day
116,house,HSAP,2020-03-24,Member Day
116,house,HSAP,2020-03-12,Smithsonian Institution Budget Request for FY2021
116,house,HSAP,2020-03-12,Navy and Marine Corps Installations and Quality of Life
116,house,HSAP,2020-03-12,Member Day
116,house,HSAP,2020-03-12,Public Witness Day
116,house,HSAP,2020-03-11,U.S. Africa Command (AFRICOM) (CLOSED)
116,house,HSAP,2020-03-11,"Department of Energy FY2021 Budget Request for Advanced Research Projects AgencyEnergy, Office of Science, and Environmental Management"
116,house,HSAP,2020-03-11,Impact of PFAS Exposure on Servicemembers
116,house,HSAP,2020-03-11,U.S. Central Command (CENTCOM) (CLOSED)
116,house,HSAP,2020-03-11,Food and Drug Administration Budget Request for FY2021
116,house,HSAP,2020-03-11,Immigration and Customs Enforcement Budget Request for FY2021
116,house,HSAP,2020-03-11,Federal Aviation Administration Budget Request for FY2021
116,house,HSAP,2020-03-11,Department of the Treasury Budget Request for FY2021
116,house,HSAP,2020-03-11,National Labor Relations Board Budget Request for FY 2021
116,house,HSAP,2020-03-11,Federal Communication Commission Budget Request for FY2021
116,house,HSAP,2020-03-11,Department of the Interior Budget Request for FY2021
116,house,HSAP,2020-03-10,U.S. Army Budget Request for FY2021
116,house,HSAP,2020-03-10,Public Witness Day
116,house,HSAP,2020-03-10,U.S. Army Corps of Engineers and Bureau of Reclamation Budget Requests for FY2021
116,house,HSAP,2020-03-10,U.S. Coast Guard Budget Request for FY2021
116,house,HSAP,2020-03-10,U.S. Southern Command (SOUTHCOM) (Closed)
116,house,HSAP,2020-03-10,Member Day
116,house,HSAP,2020-03-10,Department of Commerce Budget Request for FY2021
116,house,HSAP,2020-03-10,Department of State Budget Request for FY2021
116,house,HSAP,2020-03-10,Centers for Disease Control and Prevention Budget Request for FY 2021
116,house,HSAP,2020-03-10,Department of Agriculture Budget Request for FY2021
116,house,HSAP,2020-03-10,United States Office of Management and Budget Budget Request for FY2021
116,house,HSAP,2020-03-10,Member Day
116,house,HSAP,2020-03-05,Government Publishing Office FY2021 Budget Hearing
116,house,HSAP,2020-03-05,Architect of the Capitol FY2021 Budget Hearing
116,house,HSAP,2020-03-05,Defense Health Program (DHP)
116,house,HSAP,2020-03-04,U.S. Space Force Organizational Plan
116,house,HSAP,2020-03-04,Department of Energy/National Nuclear Security Administration
116,house,HSAP,2020-03-04,Public Witnesses testifying on FY21 Budget
116,house,HSAS,2020-12-09,Fort Hood 2020: The Findings and Recommendations of the Fort Hood Independent Review Committee
116,house,HSAS,2020-11-20,The US military mission in Afghanistan and implications of the peace process on US involvement
116,house,HSAS,2020-10-02,Strengthening Biological Security: Traditional Threats and Emerging Challenges
116,house,HSAS,2020-09-30,U.S. Defense Posture Changes in the European Theater
116,house,HSAS,2020-09-22,Modernization of the Conventional Ammunition Production Industrial Base
116,house,HSAS,2020-09-17,Interim Review of the National Security Commission on Artificial Intelligence Effort and Recommendations
116,house,HSAS,2020-09-15,Addressing the Legacy of Department of Defense Use of PFAS: Protecting Our Communities and Implementing Reform
116,house,HSAS,2020-07-30,Review of the Recommendations of the Cyberspace Solarium Commission
116,house,HSAS,2020-07-29,The Militarys #MeToo Moment: An Examination of Sexual Assault and Percieved Retaliation in the Department of Defense and at Fort Hood
116,house,HSAS,2020-07-09,Department of Defense Authorities and Roles Related to Civilian Law Enforcement
116,house,HSAS,2020-07-01,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-23,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-23,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-23,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-23,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-22,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-22,H.R. 6395 - National Defense Authorization Act for Fiscal Year 2021
116,house,HSAS,2020-06-16,Racial Disparity in the Military Justice System - How to Fix the Culture
116,house,HSAS,2020-06-10,Department of Defense COVID-19 Response to Defense Industrial Base Challenges
116,house,HSAS,2020-06-04,Future Force Structure Requirements for the United States Navy
116,house,HSAS,2020-03-26,National Security Challenges and U.S. Military Activities in Europe
116,house,HSAS,2020-03-25,National Security Challenges and U.S. Military Activities in the Indo-Pacific
116,house,HSAS,2020-03-12,FY21 Priorities for Missile Defense and Missile Defeat Programs
116,house,HSAS,2020-03-12,FY21 Navy and Marine Corps Readiness Posture
116,house,HSAS,2020-03-11,Sealift and Mobility Requirements in Support of the National Defense Strategy
116,house,HSAS,2020-03-11,"Reviewing Department of Defense Science and Technology Strategy, Policy, and Programs for Fiscal Year 2021: Maintaining a Robust Ecosystem for Our Technological Edge"
116,house,HSAS,2020-03-11,Hearing on National Security Challenges and U.S. Military Activity in North and South America
116,house,HSAS,2020-03-10,Domestic Violence in the Military Services - What is Being Done to Reduce the Scourge of these Abhorrent Crimes?
116,house,HSAS,2020-03-10,Department of Defense Tactical and Rotary Aircraft Acquisition and Modernization Programs in the Fiscal Year 2021 Presidents Budget Request
116,house,HSAS,2020-03-10,National Security Challenges and U.S. Military Activities in the Greater Middle East and Africa
116,house,HSAS,2020-03-05,Fiscal Year 2021 Army and Marine Corps Ground Systems Modernization Programs
116,house,HSAS,2020-03-04,Fiscal Year 2021 Budget Request for U.S. Cyber Command and Operations in Cyberspace
116,house,HSAS,2020-03-04,Department of the Navy Fiscal Year 2021 Budget Request for Seapower and Projection Forces
116,house,HSAS,2020-03-04,The Fiscal Year 2021 National Defense Authorization Budget Request for the Department of the Air Force
116,house,HSAS,2020-03-03,FY21 Budget Request for Nuclear Forces and Atomic Energy Defense Activities
116,house,HSAS,2020-03-03,FY21 Air Force and Space Force Readiness Posture
116,house,HSAS,2020-03-03,The Fiscal Year 2021 National Defense Authorization Budget Request for the Department of the Army
116,house,HSAS,2020-02-27,Air Force Projection Forces Aviation Programs and Capabilities Related to the 2021 President&#39;s Budget Request
116,house,HSAS,2020-02-27,Strategic Forces Posture Hearing
116,house,HSAS,2020-02-27,The Fiscal Year 2021 National Defense Authorization Budget Request for the Department of the Navy
116,house,HSAS,2020-02-26,The Fiscal Year 2021 National Defense Authorization Budget Request from the Department of Defense
116,house,HSAS,2020-02-12,&quot;Land Based Ranges: Building Military Readiness While Protecting Natural and Cultural Resources&quot;
116,house,HSAS,2020-02-11,Alarming Incidents of White Supremacy in the Military - How to Stop It?
116,house,HSAS,2020-02-11,"Reviewing Department of Defense Strategy, Policy, and Programs for Countering Weapons of Mass Destruction for Fiscal Year 2021"
116,house,HSAS,2020-02-11,The Department of Defense&#39;s Role in Long-Term Major State Compettion
116,house,HSAS,2020-02-05,&quot;Update on Navy and Marine Corps Readiness in the Pacific in the Aftermath of Recent Mishaps&quot;
116,house,HSAS,2020-02-05,Exceptional Family Member Program - Are the Military Services Really Taking Care of Family Members?
116,house,HSAS,2020-02-05,Future of Defense Task Force: Supercharging the innovation base
116,house,HSAS,2020-01-28,Security Update on the Korean Peninsula
116,house,HSAS,2020-01-15,DOD&#39;s Role in Competing with China
116,house,HSAS,2019-12-11,Climate Change in the Era of Strategic Competition
116,house,HSAS,2019-12-11,U.S. Policy in Syria and the Broader Region
116,house,HSAS,2019-12-10,Diversity in Recruiting and Retention: Increasing Diversity in the Military - What the Military Services are Doing
116,house,HSAS,2019-12-05,Privatized Housing: Are Conditions Improving for Our Military Families?
116,house,HSAS,2019-11-21,"The Department of Defense Organic Industrial Base: Challenges, Solutions and Readiness Impacts"
116,house,HSAS,2019-11-20,Climate Change in the Era of Strategic Competition
116,house,HSAS,2019-11-19,Military Health System Reform: A Cure for Efficiency and Readiness?
116,house,HSAS,2019-11-13,"F-35 Program Update: Sustainment, Production, and Affordability Challenges"
116,house,HSAS,2019-10-29,Future of Defense Task Force: Theories of Victory
116,house,HSAS,2019-10-22,Ship and Submarine Maintenance: Cost and Schedule Challenges
116,house,HSED,2020-09-24,"H.R.8294, National Apprenticeship Act of 2020"
116,house,HSED,2020-09-10,On the Basis of Sex: Examining the Administration&#39;s Attacks on Gender-Based Protections
116,house,HSED,2020-09-10,Business Meeting
116,house,HSED,2020-07-23,Underfunded &amp; Unprepared: Examining How to Overcome Obstacles to Safely Reopen Public Schools.
116,house,HSED,2020-07-07,A Major Test: Examining the Impact of COVID-19 on the Future of Higher Education.
116,house,HSED,2020-06-22,"Inequities Exposed: How COVID-19 Widened Racial Inequities in Education, Health, and the Workforce."
116,house,HSED,2020-06-15,Budget Cuts and Lost Learning: Assessing the Impact of COVID-19 on Public Education
116,house,HSED,2020-05-20,Examining the Federal Governments Actions to Protect Workers from COVID-19.
116,house,HSED,2020-03-11,The Healthy Families Act (H.R. 1784): Examining a Plan to Secure Paid Sick Leave for U.S. Workers.
116,house,HSED,2020-02-27,Reauthorizing the National Apprenticeship Act: Strengthening and Growing Apprenticeships for the 21st century.
116,house,HSED,2020-02-26,Asleep at the Switch: How the Department of Labor Failed to Oversee the Black Lung Disability Trust Fund.
116,house,HSED,2020-02-11,"Balancing Work, Health, and Family: The Case for Expanding the Family and Medical Leave Act."
116,house,HSED,2020-02-11,A bill to protect consumers from surprise bills.
116,house,HSED,2020-02-06,"&quot;Solving Americas Child Care Crisis: Supporting Parents, Children, and the Economy.&quot;"
116,house,HSED,2020-02-05,The Future of Work: Protecting Workers Civil Rights in the Digital Age
116,house,HSED,2020-01-28,Expecting More: Addressing Americas Maternal and Infant Health Crisis
116,house,HSED,2020-01-14,"H.R. 2694, Pregnant Worker Fairness Act and H.R. 5191, Runaway and Homeless Youth and Trafficking Preventing Act of 2019"
116,house,HSED,2019-12-18,The Future of Work: Ensuring Workers are Competitive in a Rapidly Changing Economy.
116,house,HSED,2019-12-12,Examining the Education Departments Implementation of Borrower Defense.
116,house,HSED,2019-12-04,Growing Up in Fear: How the Trump Administrations Immigration Policies Are Harming Children.
116,house,HSED,2019-11-20,Examining the Policies and Priorities of the Labor Departments Apprenticeship Program.&quot;
116,house,HSED,2019-11-19,&#39;With Extreme Displeasure&#39;: Examining the Education Departments Refusal to Provide Debt Relief to Defrauded Students.
116,house,HSED,2019-10-29,"H.R. 4674, College Affordability Act"
116,house,HSED,2019-10-24,Examining the Policies and Priorities of the Labor Departments Apprenticeship Program.&quot;
116,house,HSED,2019-10-23,The Future of Work: Preserving Worker Protections in the Modern Economy
116,house,HSED,2019-10-22,Long Over Due: Exploring the Pregnant Workers Fairness Act (H.R. 2694
116,house,HSED,2019-10-17,"H.R. 3, Lower Drug Costs Now Act of 2019"
116,house,HSED,2019-10-16,Examining the USDAs Proposed Cuts to Free School Meals.
116,house,HSED,2019-09-26,Making Health Care More Affordable: Lowering Drug Prices and Increasing Transparency
116,house,HSED,2019-09-26,"Misclassification of Employees: Examining the Costs to Workers, Businesses, and the Economy"
116,house,HSED,2019-09-25,"H.R. 2474, Protecting the Right to Organize Act of 2019"
116,house,HSED,2019-09-25,Obstruction of Oversight: Examining the Department of Educations Ties to the Loan Servicing Industry
116,house,HSED,2019-09-19,Examining the Policies and Priorities of the Equal Employment Opportunity Commission (EEOC) and the Office of Federal Contract Compliance Programs (OFCCP).
116,house,HSED,2019-09-19,Broken Promises: Examining the Failed Implementation of the Public Service Loan Forgiveness Program.
116,house,HSED,2019-09-18,"A bill to reauthorize the Older Americans Act and H.R. 4301, School Shooting Safety and Preparedness Act"
116,house,HSED,2019-09-11,&quot;The Importance of Trauma-Informed Practices in Education to Assist Students Impacted by Gun Violence and Other Adversities&quot;
116,house,HSED,2019-07-25,&quot;Protecting the Right to Organize Act: Modernizing Americas Labor Laws&quot;
116,house,HSED,2019-07-17,Educating our Educators: How Federal Policy Can Better Support Teachers and School Leaders.&quot;
116,house,HSED,2019-07-16,Strengthening Federal Support to End Youth Homelessness.&quot;
116,house,HSED,2019-07-16,Scaling Up Apprenticeships: Building on the Success of International Apprenticeship Models.&quot;
116,house,HSED,2019-07-11,&quot;From the Fields to the Factories: Preventing Workplace Injury and Death from Excessive Heat.&quot;
116,house,HSED,2019-06-26,Examining the Consequences of the Trump Administrations Attacks on the Job Corps Program
116,house,HSED,2019-06-26,Standing with Public Servants: Protecting the Right to Organize.&quot;
116,house,HSED,2019-06-25,&quot;Do No Harm: Examining the Misapplication of the Religious Freedom Restoration Act.&quot;
116,house,HSED,2019-06-20,Breathless and Betrayed: What is MSHA Doing to Protect Miners from the Resurgence of Black Lung Disease?
116,house,HSED,2019-06-19,&quot;Innovation to Improve Equity: Exploring High-Quality Pathways to a College Degree&quot;
116,house,HSED,2019-06-12,Restoring the Value of Work: Evaluating DOLs Efforts to Undermine Strong Overtime Protections.&quot;
116,house,HSED,2019-06-11,"H.R. 1230, Protecting Older Workers Against Discrimination Act, H.R. 1309, Workplace Violence Prevention for Health Care and Social Service Workers Act, and H.R. 397, Rehabilitation for Multiemployer Pensions Act"
116,house,HSED,2019-06-05,This is Not a Drill: Education-Related Response and Recovery in the Wake of Natural Disasters.&quot;
116,house,HSED,2019-06-04,Examining the Policies and Priorities of the U.S. Department of Agricultures Food and Nutrition Service.&quot;
116,house,HSED,2019-05-22,"Engines of Economic Mobility: The Critical Role of Community Colleges, Historically Black Colleges and Universities, and Minority-Serving Institutions in Preparing Students for Success.&quot;"
116,house,HSED,2019-05-21,Eliminating Barriers to Employment: Opening Doors to Opportunity.&quot;
116,house,HSED,2019-05-16,"H.R. 2574, Equity and Inclusion Enforcement Act H.R. 2639, Strength in Diversity Act of 2019"
116,house,HSED,2019-05-15,&quot;Examining the Older Americans Act: Promoting Independence and Dignity for Older Americans.&quot;
116,house,HSED,2019-05-09,The Cost of Non-Completion: Improving Student Outcomes in Higher Education.&quot;
116,house,HSED,2019-05-08,The Protecting the Right to Organize Act: Deterring Unfair Labor Practices.&quot;
116,house,HSED,2019-05-08,"H.R. 2480, Stronger Child Abuse Prevention and Treatment Act"
116,house,HSED,2019-05-01,Examining the Policies and Priorities of the U.S. Department of Labor.&quot;
116,house,HSED,2019-04-30,&quot;Brown v. Board of Education at 65: A Promise Unfulfilled.&quot;
116,house,HSED,2019-04-24,Committee on Education and Labor Subcommittee on Higher Education and Workforce Investment and Committee on Veterans Affairs Subcommittee on Economic Opportunity joint field hearing entitled Protecting Those Who Protect Us: Ensuring the Success of our Student Veterans
116,house,HSIF,2020-10-01,Generating Equity: Improving Clean Energy Access and Affordability - Virtual Hearing
116,house,HSIF,2020-09-30,Pathway to a Vaccine: Ensuring a Safe and Effective Vaccine People Will Trust - Virtual Hearing
116,house,HSIF,2020-09-24,Mainstreaming Extremism: Social Medias Role in Radicalizing America (Virtual Hearing)
116,house,HSIF,2020-09-23,&quot;Health Care Lifeline: The Affordable Care Act and the COVID-19 Pandemic&quot; (Virtual Hearing)
116,house,HSIF,2020-09-17,&quot;Trump FCC: Four Years of Lost Opportunities&quot; - Virtual Hearing
116,house,HSIF,2020-09-16,"&quot;Building a 100 Percent Clean Economy: Opportunities for an Equitable, Low-Carbon Recovery&quot;"
116,house,HSIF,2020-09-09,38 bills pending before the Committee
116,house,HSIF,2020-07-29,&quot;Improving Access to Care: Legislation to Reauthorize Key Public Health Programs&quot; (Virtual Hearing)
116,house,HSIF,2020-07-28,&quot;There&#39;s Something in the Water: Reforming Our Nation&#39;s Drinking Water Standards&quot; (Virtual Hearing)
116,house,HSIF,2020-07-21,"&quot;Pathway to a Vaccine: Efforts to Develop a Safe, Effective and Accessible COVID-19 Vaccine&quot;(Virtual Hearing)"
116,house,HSIF,2020-07-15,30 bills pending before the Full Committee (Virtual Markup)
116,house,HSIF,2020-07-14,&quot;Oversight of DOE During the COVID-19 Pandemic&quot;
116,house,HSIF,2020-07-09,&quot;Consumers Beware: Increased Risks During the COVID-19 Pandemic&quot;
116,house,HSIF,2020-07-08,&quot;Addressing the Urgent Needs of Our Tribal Communities&quot; Virtual Hearing
116,house,HSIF,2020-06-30,&quot;High Anxiety and Stress: Legislation to Improve Mental Health During Crisis&quot; Virtual Legislative Hearing
116,house,HSIF,2020-06-24,&quot;A Country in Crisis: How Disinformation Online Is Dividing the Nation&quot; (Virtual Hearing)
116,house,HSIF,2020-06-23,&quot;Oversight of the Trump Administration&#39;s Response to the COVID-19 Pandemic&quot; (Hybrid Hearing)
116,house,HSIF,2020-06-17,Health Care Inequality: Confronting Racial and Ethnic Disparities in COVID-19 and the Health Care System. (Virtual Hearing)
116,house,HSIF,2020-06-16,Reviving our Economy: COVID-19s Impact on the Energy Sector (Virtual Hearing)
116,house,HSIF,2020-06-09,Pollution and Pandemics: COVID-19s Disproportionate Impact on Environmental Justice Communities (Virtual Hearing)
116,house,HSIF,2020-06-02,&quot;On the Front Line: How Governors are Battling the COVID-19 Pandemic&quot; (Virtual Hearing)
116,house,HSIF,2020-05-14,Protecting Scientific Integrity in the COVID-19 Response
116,house,HSIF,2020-05-14,Protecting Scientific Integrity in the COVID-19 Response
116,house,HSIF,2020-03-12,Legislation to Reauthorize the Chemical Facility Anti-Terrorism Standards (CFATS) Program and Phase Down the Production and Consumption of Hydrofluorocarbons (HFCs)
116,house,HSIF,2020-03-11,13 Health Bills
116,house,HSIF,2020-03-10,"Eleven Bills in the Subcommittee on Communications and Technology relating to Public Safety, Media Diversity, and C-band."
116,house,HSIF,2020-03-04,"&quot;Reduce, Reuse, Recycle, Reform: Addressing Americas Plastic Waste Crisis&quot;"
116,house,HSIF,2020-03-04,Buyer Beware: Fake and Unsafe Products on Online Marketplaces
116,house,HSIF,2020-03-04,&quot;Buyer Beware: Fake and Unsafe Products on Online Marketplaces&quot;
116,house,HSIF,2020-03-03,Hearing on: &quot;Building a 100 Percent Clean Economy: Advanced Nuclear Technology&#39;s Role in a Decarbonized Future&quot;
116,house,HSIF,2020-03-03,Combating an Epidemic: Legislation to Help Patients with Substance Use Disorders
116,house,HSIF,2020-02-27,&quot;Strengthening Communications Networks to Help Americans in Crisis&quot;
116,house,HSIF,2020-02-27,The Fiscal Year 2021 Environmental Protection Agency Budget
116,house,HSIF,2020-02-26,&quot;The Fiscal Year 2021 HHS Budget and Oversight of the Coronavirus Outbreak&quot;
116,house,HSIF,2020-02-26,In the Dark: Lack of Transparency in the Live Event Ticketing Industry
116,house,HSIF,2020-02-12,Hearing on: &quot;Saving Energy: Legislation to Improve Energy Efficiency and Storage&quot;
116,house,HSIF,2020-02-12,&quot;Protecting Women&#39;s Access to Reproductive Health Care&quot;
116,house,HSIF,2020-02-11,&quot;EPAs Lead and Copper Proposal: Failing to Protect Public Health&quot;
116,house,HSIF,2020-02-11,&quot;Autonomous Vehicles: Promises and Challenges of Evolving Automotive Technologies&quot;
116,house,HSIF,2020-02-06,"&quot;Clearing the Air: Legislation to Promote Carbon Capture, Utilization, and Storage&quot;"
116,house,HSIF,2020-02-05,Vaping in America: E-Cigarette Manufacturers Impact on Public Health
116,house,HSIF,2020-02-05,Hearing on &quot;Modernizing the Natural Gas Act to Ensure it Works for Everyone&quot;
116,house,HSIF,2020-01-29,&quot;Empowering and Connecting Communities through Digital Equity and Internet Adoption&quot;
116,house,HSIF,2020-01-29,Improving Safety and Transparency in Americas Food and Drugs
116,house,HSIF,2020-01-28,Legislation to Promote the Health and Safety of Racehorses
116,house,HSIF,2020-01-28,Out of Control: The Impact of Wildfires on our Power Sector and the Environment
116,house,HSIF,2020-01-15,&quot;Lifting Voices: Legislation to Promote Media Marketplace Diversity&quot;
116,house,HSIF,2020-01-15,Cannabis Policies for the New Decade.
116,house,HSIF,2020-01-14,Promoting American Innovation and Jobs: Legislation to Phase Down the Use of Hydrofluorocarbons
116,house,HSIF,2020-01-14,A Public Health Emergency: State Efforts to Curb the Opioid Crisis
116,house,HSIF,2020-01-09,Subcommittee Markup of 9 Energy bills
116,house,HSIF,2020-01-08,Americans at Risk: Manipulation and Deception in the Digital Age
116,house,HSIF,2020-01-08,&quot;Legislation to Improve Americans&#39; Health Care Coverage and Outcomes&quot;
116,house,HSIF,2019-12-10,Proposals to Achieve Universal Health Care Coverage
116,house,HSIF,2019-12-10,Securing the U.S. Drug Supply Chain: Oversight of FDAs Foreign Inspection Program
116,house,HSIF,2019-12-05,Building a 100 Percent Clean Economy: Solutions for Economy-Wide Deep Decarbonization
116,house,HSIF,2019-12-05,&quot;Accountability and Oversight of the Federal Communications Commission&quot;
116,house,HSIF,2019-12-04,Flu Season: U.S. Public Health Preparedness and Response
