committee_id,committee_name,congress,chamber
SSBU,Committee on the Budget,117,senate
SSJU,Committee on the Judiciary,117,senate
SSVA,Committee on Veterans' Affairs,117,senate
SLET,Select Committee on Ethics,117,senate
SLIN,Select Committee on Intelligence,117,senate
SPAG,Special Committee on Aging,117,senate
SCNC,United States Caucus on International Narcotics Control,117,senate
JCSE,Commission on Security and Cooperation in Europe,117,joint
JSPR,Joint Committee on Printing,117,joint
JSTX,Joint Committee on Taxation,117,joint
JSLC,Joint Committee on the Library,117,joint
JSEC,Joint Economic Committee,117,joint
HSHA,Committee on Administration,118,house
HSAG,Committee on Agriculture,118,house
HSAP,Committee on Appropriations,118,house
HSAS,Committee on Armed Services,118,house
HSED,Committee on Education and the Workforce,118,house
HSIF,Committee on Energy and Commerce,118,house
HSSO,Committee on Ethics,118,house
HSBA,Committee on Financial Services,118,house
HSFA,Committee on Foreign Affairs,118,house
HSHM,Committee on Homeland Security,118,house
HSII,Committee on Natural Resources,118,house
HSGO,Committee on Oversight and Accountability,118,house
HSRU,Committee on Rules,118,house
HSSY,"Committee on Science, Space, and Technology",118,house
HSSM,Committee on Small Business,118,house
HSBU,Committee on the Budget,118,house
HSJU,Committee on the Judiciary,118,house
HSPW,Committee on Transportation and Infrastructure,118,house
HSVR,Committee on Veterans' Affairs,118,house
HSWM,Committee on Ways and Means,118,house
HSIG,Permanent Select Committee on Intelligence,118,house
HSZS,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,118,house
HSVC,Select Subcommittee on the Coronavirus Pandemic,118,house
HSFD,Select Subcommittee on the Weaponization of the Federal Government,118,house
SSAF,"Committee on Agriculture, Nutrition, and Forestry",118,senate
SSAP,Committee on Appropriations,118,senate
SSAS,Committee on Armed Services,118,senate
SSBK,"Committee on Banking, Housing, and Urban Affairs",118,senate
SSCM,"Committee on Commerce, Science, and Transportation",118,senate
SSEG,Committee on Energy and Natural Resources,118,senate
SSEV,Committee on Environment and Public Works,118,senate
SSFI,Committee on Finance,118,senate
SSFR,Committee on Foreign Relations,118,senate
SSHR,"Committee on Health, Education, Labor, and Pensions",118,senate
SSGA,Committee on Homeland Security and Governmental Affairs,118,senate
SLIA,Committee on Indian Affairs,118,senate
SSRA,Committee on Rules and Administration,118,senate
SSSB,Committee on Small Business and Entrepreneurship,118,senate
SSBU,Committee on the Budget,118,senate
SSJU,Committee on the Judiciary,118,senate
SSVA,Committee on Veterans' Affairs,118,senate
SLET,Select Committee on Ethics,118,senate
SLIN,Select Committee on Intelligence,118,senate
SPAG,Special Committee on Aging,118,senate
SCNC,United States Caucus on International Narcotics Control,118,senate
JCSE,Commission on Security and Cooperation in Europe,118,joint
JSPR,Joint Committee on Printing,118,joint
JSTX,Joint Committee on Taxation,118,joint
JSLC,Joint Committee on the Library,118,joint
JSEC,Joint Economic Committee,118,joint
