Comittee_code,Member_name
HSPW,Valerie P. Foushee
HSPW,Marcus J. Molinaro
HSPW,Mike Collins
HSPW,Mike Ezell
HSPW,John S. Duarte
HSPW,Aaron Bean
HSII13,Cliff Bentz
HSII13,Jared Huffman
HSII13,Robert J. Wittman
HSII13,Grace F. Napolitano
HSII13,Tom McClintock
HSII13,Mike Levin
HSII13,Garret Graves
HSII13,Mary Sattler Peltola
HSII13,Aumua Amata Coleman Radewagen
HSII13,Kevin Mullin
HSII13,Doug LaMalfa
HSII13,Val T. Hoyle
HSII13,Daniel Webster
HSII13,Seth Magaziner
HSII13,Jenniffer González-Colón
HSII13,Debbie Dingell
HSII13,Jerry L. Carl
HSII13,Ruben Gallego
HSII13,Lauren Boebert
HSII13,Joe Neguse
HSII13,Jennifer Kiggans
HSII13,Katie Porter
HSII13,Anna Paulina Luna
HSII13,Ed Case
HSII13,John S. Duarte
HSII13,Harriet M. Hageman
HSII24,Harriet M. Hageman
HSII24,Teresa Leger Fernandez
HSII24,Aumua Amata Coleman Radewagen
HSII24,Gregorio Kilili Camacho Sablan
HSII24,Doug LaMalfa
HSII24,Ruben Gallego
HSII24,Jenniffer González-Colón
HSII24,Nydia M. Velázquez
HSII24,Jerry L. Carl
HSII24,Ed Case
HSII24,James C. Moylan
HSPW05,Garret Graves
HSPW05,Steve Cohen
HSPW05,"Eric A. ""Rick"" Crawford"
HSPW05,"Henry C. ""Hank"" Johnson, Jr."
HSPW05,Thomas Massie
HSPW05,André Carson
HSPW05,Scott Perry
HSPW05,Julia Brownley
HSPW05,Bruce Westerman
HSPW05,Mark DeSaulnier
HSPW05,Brian J. Mast
HSPW05,Greg Stanton
HSPW05,Pete Stauber
HSPW05,Colin Z. Allred
HSPW05,Tim Burchett
HSPW05,Sharice Davids
HSPW05,Dusty Johnson
HSPW05,"Jesús G. ""Chuy"" García"
HSPW05,Jefferson Van Drew
HSPW05,Jake Auchincloss
HSPW05,Lance Gooden
HSPW05,Mary Sattler Peltola
HSPW05,Tracey Mann
HSPW05,Hillary J. Scholten
HSPW05,Burgess Owens
HSPW05,Dina Titus
HSPW05,Rudy Yakym III
HSPW05,"Donald M. Payne, Jr."
HSPW05,Lori Chavez-DeRemer
HSPW05,Salud O. Carbajal
HSPW05,"Thomas H. Kean, Jr."
HSPW05,Robert Menendez
HSPW05,Anthony D’Esposito
HSPW05,Eleanor Holmes Norton
HSPW05,John James
HSPW05,Frederica S. Wilson
HSPW05,Marcus J. Molinaro
HSPW05,Mike Collins
HSPW05,Aaron Bean
HSPW07,Daniel Webster
HSPW07,Salud O. Carbajal
HSPW07,Brian Babin
HSPW07,John Garamendi
HSPW07,Brian J. Mast
HSPW07,Chris Pappas
HSPW07,Jenniffer González-Colón
HSPW07,Jake Auchincloss
HSPW07,Jefferson Van Drew
HSPW07,Mary Sattler Peltola
HSPW07,Mike Ezell
HSPW07,Hillary J. Scholten
HSPW07,Aaron Bean
HSPW12,"Eric A. ""Rick"" Crawford"
HSPW12,Eleanor Holmes Norton
HSPW12,Daniel Webster
HSPW12,Jared Huffman
HSPW12,Thomas Massie
HSPW12,Chris Pappas
HSPW12,Mike Bost
HSPW12,Marilyn Strickland
HSPW12,Doug LaMalfa
HSPW12,Patrick Ryan
HSPW12,Pete Stauber
HSPW12,Robert Menendez
HSPW12,Tim Burchett
HSPW12,Val T. Hoyle
HSPW12,Dusty Johnson
HSPW12,Valerie P. Foushee
HSPW12,Jefferson Van Drew
HSPW12,Grace F. Napolitano
HSPW12,Troy E. Nehls
HSPW12,Steve Cohen
HSPW12,Lance Gooden
HSPW12,"Henry C. ""Hank"" Johnson, Jr."
HSPW12,Tracey Mann
HSPW12,Julia Brownley
HSPW12,Burgess Owens
HSPW12,Greg Stanton
HSPW12,Rudy Yakym III
HSPW12,Colin Z. Allred
HSPW12,Lori Chavez-DeRemer
HSPW12,"Jesús G. ""Chuy"" García"
HSPW12,Chuck Edwards
HSPW12,Seth Moulton
HSPW12,"Thomas H. Kean, Jr."
HSPW12,Emilia Strong Sykes
HSPW12,Anthony D’Esposito
HSPW12,John Garamendi
HSPW12,Eric Burlison
HSPW12,Dina Titus
HSPW12,Derrick Van Orden
HSPW12,Salud O. Carbajal
HSPW12,Brandon Williams
HSPW12,Jake Auchincloss
HSPW12,Marcus J. Molinaro
HSPW12,Mark DeSaulnier
HSPW12,Mike Collins
HSPW12,John S. Duarte
HSPW12,Aaron Bean
HSAS,Mike Rogers
HSAS,Adam Smith
HSAS,Joe Wilson
HSAS,Joe Courtney
HSAS,Michael R. Turner
HSAS,John Garamendi
HSAS,Doug Lamborn
HSAS,Donald Norcross
HSAS,Robert J. Wittman
HSAS,Ruben Gallego
HSAS,Austin Scott
HSAS,Seth Moulton
HSAS,Sam Graves
HSAS,Salud O. Carbajal
HSAS,Elise M. Stefanik
HSAS,Ro Khanna
HSAS,Scott DesJarlais
HSAS,William R. Keating
HSAS,Trent Kelly
HSAS,Andy Kim
HSAS,Mike Gallagher
HSAS,Chrissy Houlahan
HSAS,Matt Gaetz
HSAS,Elissa Slotkin
HSAS,Don Bacon
HSAS,Mikie Sherrill
HSAS,Jim Banks
HSAS,Veronica Escobar
HSAS,Jack Bergman
HSAS,Jared F. Golden
HSAS,Michael Waltz
HSAS,Sara Jacobs
HSAS,Mike Johnson
HSAS,Marilyn Strickland
HSAS,Lisa C. McClain
HSAS,Patrick Ryan
HSAS,Ronny Jackson
HSAS,Jeff Jackson
HSAS,Pat Fallon
HSAS,Gabe Vasquez
HSAS,Carlos A. Gimenez
HSAS,Christopher R. Deluzio
HSAS,Nancy Mace
HSAS,Jill N. Tokuda
HSAS,Brad Finstad
HSAS,Donald G. Davis
HSAS,Dale W. Strong
HSAS,Jennifer L. McClellan
HSAS,Morgan Luttrell
HSAS,Terri A. Sewell
HSAS,Jennifer Kiggans
HSAS,Steven Horsford
HSAS,Nick LaLota
HSAS,Jimmy Panetta
HSAS,James C. Moylan
HSAS,Marc A. Veasey
HSAS,Mark Alford
HSAS,Cory Mills
HSAS,Richard McCormick
HSAS02,Jim Banks
HSAS02,Andy Kim
HSAS02,Elise M. Stefanik
HSAS02,Chrissy Houlahan
HSAS02,Matt Gaetz
HSAS02,Veronica Escobar
HSAS02,Jack Bergman
HSAS02,Marilyn Strickland
HSAS02,Michael Waltz
HSAS02,Jill N. Tokuda
HSAS02,Brad Finstad
HSAS02,Donald G. Davis
HSAS02,James C. Moylan
HSAS02,Terri A. Sewell
HSAS02,Mark Alford
HSAS02,Steven Horsford
HSAS02,Cory Mills
HSAS28,Trent Kelly
HSAS28,Joe Courtney
HSAS28,Robert J. Wittman
HSAS28,John Garamendi
HSAS28,Scott DesJarlais
HSAS28,Donald Norcross
HSAS28,Mike Gallagher
HSAS28,Jared F. Golden
HSAS28,Jack Bergman
HSAS28,Sara Jacobs
HSAS28,Mike Johnson
HSAS28,Christopher R. Deluzio
HSAS28,Ronny Jackson
HSAS28,Jennifer L. McClellan
HSAS28,Nancy Mace
HSAS28,Jimmy Panetta
HSAS28,Jennifer Kiggans
HSAS28,Mark Alford
HSAG,Glenn Thompson
HSAG,David Scott
HSAG,Frank D. Lucas
HSAG,Jim Costa
HSAG,Austin Scott
HSAG,James P. McGovern
HSAG,"Eric A. ""Rick"" Crawford"
HSAG,Alma S. Adams
HSAG,Scott DesJarlais
HSAG,Abigail Davis Spanberger
HSAG,Doug LaMalfa
HSAG,Jahana Hayes
HSAG,David Rouzer
HSAG,Shontel M. Brown
HSAG,Trent Kelly
HSAG,Sharice Davids
HSAG,Don Bacon
HSAG,Elissa Slotkin
HSAG,Mike Bost
HSAG,Yadira Caraveo
HSAG,Dusty Johnson
HSAG,Andrea Salinas
HSAG,James R. Baird
HSAG,Marie Gluesenkamp Perez
HSAG,Tracey Mann
HSAG,Donald G. Davis
HSAG,Randy Feenstra
HSAG,Jill N. Tokuda
HSAG,Mary E. Miller
HSAG,Nikki Budzinski
HSAG,Barry Moore
HSAG,Eric Sorensen
HSAG,Kat Cammack
HSAG,Gabe Vasquez
HSAG,Brad Finstad
HSAG,Jasmine Crockett
HSAG,John W. Rose
HSAG,Jonathan L. Jackson
HSAG,Ronny Jackson
HSAG,Greg Casar
HSAG,Marcus J. Molinaro
HSAG,Chellie Pingree
HSAG,Monica De La Cruz
HSAG,Salud O. Carbajal
HSAG,Nicholas A. Langworthy
HSAG,Angie Craig
HSAG,John S. Duarte
HSAG,Darren Soto
HSAG,Zachary Nunn
HSAG,"Sanford D. Bishop, Jr."
HSAG,Mark Alford
HSAG,Derrick Van Orden
HSAG,Lori Chavez-DeRemer
HSAG,Max L. Miller
HSVR,Mike Bost
HSVR,Mark Takano
HSVR,Aumua Amata Coleman Radewagen
HSVR,Julia Brownley
HSVR,Jack Bergman
HSVR,Mike Levin
HSVR,Nancy Mace
HSVR,Chris Pappas
HSVR,"Matthew M. Rosendale, Sr."
HSVR,Frank J. Mrvan
HSVR,Mariannette Miller-Meeks
HSVR,Sheila Cherfilus-McCormick
HSVR,Gregory F. Murphy
HSVR,Christopher R. Deluzio
HSVR,C. Scott Franklin
HSVR,Morgan McGarvey
HSVR,Derrick Van Orden
HSVR,Delia C. Ramirez
HSVR,Morgan Luttrell
HSVR,Greg Landsman
HSVR,Juan Ciscomani
HSVR,Nikki Budzinski
HSVR,Elijah Crane
HSVR,Keith Self
HSVR,Jennifer Kiggans
HSAG15,Doug LaMalfa
HSAG15,Andrea Salinas
HSAG15,Trent Kelly
HSAG15,Marie Gluesenkamp Perez
HSAG15,Barry Moore
HSAG15,Gabe Vasquez
HSAG15,John S. Duarte
HSAG15,Chellie Pingree
HSAG15,Lori Chavez-DeRemer
HSAG29,Tracey Mann
HSAG29,Jim Costa
HSAG29,Scott DesJarlais
HSAG29,Abigail Davis Spanberger
HSAG29,Trent Kelly
HSAG29,Jahana Hayes
HSAG29,Don Bacon
HSAG29,Yadira Caraveo
HSAG29,James R. Baird
HSAG29,Jill N. Tokuda
HSAG29,Randy Feenstra
HSAG29,Chellie Pingree
HSAG29,Barry Moore
HSAG29,Darren Soto
HSAG29,Ronny Jackson
HSAG29,Donald G. Davis
HSAG29,Marcus J. Molinaro
HSAG29,Mark Alford
HSAG29,Derrick Van Orden
HSVR09,Morgan Luttrell
HSVR09,Chris Pappas
HSVR09,C. Scott Franklin
HSVR09,Christopher R. Deluzio
HSVR09,Juan Ciscomani
HSVR09,Morgan McGarvey
HSVR09,Elijah Crane
HSVR09,Delia C. Ramirez
HSVR09,Keith Self
HSVR10,Derrick Van Orden
HSVR10,Mike Levin
HSVR10,Nancy Mace
HSVR10,Frank J. Mrvan
HSVR10,C. Scott Franklin
HSVR10,Morgan McGarvey
HSVR10,Juan Ciscomani
HSVR10,Delia C. Ramirez
HSVR10,Elijah Crane
HSAP,Kay Granger
HSAP,Rosa L. DeLauro
HSAP,Harold Rogers
HSAP,Steny H. Hoyer
HSAP,Robert B. Aderholt
HSAP,Marcy Kaptur
HSAP,Michael K. Simpson
HSAP,"Sanford D. Bishop, Jr."
HSAP,John R. Carter
HSAP,Barbara Lee
HSAP,Ken Calvert
HSAP,Betty McCollum
HSAP,Tom Cole
HSAP,C. A. Dutch Ruppersberger
HSAP,Mario Diaz-Balart
HSAP,Debbie Wasserman Schultz
HSAP,Steve Womack
HSAP,Henry Cuellar
HSAP,"Charles J. ""Chuck"" Fleischmann"
HSAP,Chellie Pingree
HSAP,David P. Joyce
HSAP,Mike Quigley
HSAP,Andy Harris
HSAP,Derek Kilmer
HSAP,Mark E. Amodei
HSAP,Matt Cartwright
HSAP,David G. Valadao
HSAP,Grace Meng
HSAP,Dan Newhouse
HSAP,Mark Pocan
HSAP,John R. Moolenaar
HSAP,Pete Aguilar
HSAP,John H. Rutherford
HSAP,Lois Frankel
HSAP,Ben Cline
HSAP,Bonnie Watson Coleman
HSAP,Guy Reschenthaler
HSAP,Norma J. Torres
HSAP,Mike Garcia
HSAP,Ed Case
HSAP,Ashley Hinson
HSAP,Adriano Espaillat
HSAP,Tony Gonzales
HSAP,Josh Harder
HSAP,Julia Letlow
HSAP,Jennifer Wexton
HSAP,Michael Cloud
HSAP,David J. Trone
HSAP,Michael Guest
HSAP,Lauren Underwood
HSAP,Ryan K. Zinke
HSAP,Susie Lee
HSAP,Andrew S. Clyde
HSAP,Joseph D. Morelle
HSAP,Jake LaTurner
HSAP,Jerry L. Carl
HSAP,Stephanie I. Bice
HSAP,C. Scott Franklin
HSAP,Jake Ellzey
HSAP,Juan Ciscomani
HSAP01,Andy Harris
HSAP01,"Sanford D. Bishop, Jr."
HSAP01,David G. Valadao
HSAP01,Chellie Pingree
HSAP01,John R. Moolenaar
HSAP01,Lauren Underwood
HSAP01,Dan Newhouse
HSAP01,Marcy Kaptur
HSAP01,Julia Letlow
HSAP01,Barbara Lee
HSAP01,Ben Cline
HSAP01,Debbie Wasserman Schultz
HSAP01,Ashley Hinson
HSAP01,Jerry L. Carl
HSAP01,C. Scott Franklin
HSAP02,Ken Calvert
HSAP02,Betty McCollum
HSAP02,Harold Rogers
HSAP02,C. A. Dutch Ruppersberger
HSAP02,Tom Cole
HSAP02,Marcy Kaptur
HSAP02,Steve Womack
HSAP02,Henry Cuellar
HSAP02,Robert B. Aderholt
HSAP02,Derek Kilmer
HSAP02,John R. Carter
HSAP02,Pete Aguilar
HSAP02,Mario Diaz-Balart
HSAP02,Ed Case
HSAP02,David P. Joyce
HSAP02,Mike Garcia
HSAP19,Harold Rogers
HSAP19,Matt Cartwright
HSAP19,Robert B. Aderholt
HSAP19,Grace Meng
HSAP19,John R. Carter
HSAP19,C. A. Dutch Ruppersberger
HSAP19,Ben Cline
HSAP19,David J. Trone
HSAP19,Mike Garcia
HSAP19,Joseph D. Morelle
HSAP19,Tony Gonzales
HSAP19,Andrew S. Clyde
HSAP19,Jake Ellzey
HSSY,Frank D. Lucas
HSSY,Zoe Lofgren
HSSY,Bill Posey
HSSY,Suzanne Bonamici
HSSY,"Randy K. Weber, Sr."
HSSY,Haley M. Stevens
HSSY,Brian Babin
HSSY,Jamaal Bowman
HSSY,James R. Baird
HSSY,Deborah K. Ross
HSSY,Daniel Webster
HSSY,Eric Sorensen
HSSY,Mike Garcia
HSSY,Andrea Salinas
HSSY,Stephanie I. Bice
HSSY,Valerie P. Foushee
HSSY,Jay Obernolte
HSSY,Kevin Mullin
HSSY,"Charles J. ""Chuck"" Fleischmann"
HSSY,Jeff Jackson
HSSY,Darrell Issa
HSSY,Emilia Strong Sykes
HSSY,"Eric A. ""Rick"" Crawford"
HSSY,Maxwell Frost
HSSY,Claudia Tenney
HSSY,Yadira Caraveo
HSSY,Ryan K. Zinke
HSSY,Summer L. Lee
HSSY,C. Scott Franklin
HSSY,Jennifer L. McClellan
HSSY,Dale W. Strong
HSSY,Ted Lieu
HSSY,Max L. Miller
HSSY,Sean Casten
HSSY,Richard McCormick
HSSY,Paul Tonko
HSSY,Mike Collins
HSSY,Brandon Williams
HSSY,"Thomas H. Kean, Jr."
HSAS29,Doug Lamborn
HSAS29,Seth Moulton
HSAS29,Joe Wilson
HSAS29,John Garamendi
HSAS29,Michael R. Turner
HSAS29,Donald Norcross
HSAS29,Elise M. Stefanik
HSAS29,Salud O. Carbajal
HSAS29,Scott DesJarlais
HSAS29,Ro Khanna
HSAS29,Don Bacon
HSAS29,Chrissy Houlahan
HSAS29,Jim Banks
HSAS29,Gabe Vasquez
HSAS29,Michael Waltz
HSAS29,Marc A. Veasey
HSAS29,Dale W. Strong
HSAS35,Mike Gallagher
HSAS35,Ro Khanna
HSAS35,Matt Gaetz
HSAS35,Seth Moulton
HSAS35,Lisa C. McClain
HSAS35,William R. Keating
HSAS35,Pat Fallon
HSAS35,Andy Kim
HSAS35,Dale W. Strong
HSAS35,Elissa Slotkin
HSAS35,Morgan Luttrell
HSAS35,Jared F. Golden
HSAS35,Jennifer Kiggans
HSAS35,Patrick Ryan
HSAS35,Nick LaLota
HSAS35,Christopher R. Deluzio
HSAS35,Richard McCormick
HSSY16,Brian Babin
HSSY16,Eric Sorensen
HSSY16,Bill Posey
HSSY16,Jeff Jackson
HSSY16,Daniel Webster
HSSY16,Yadira Caraveo
HSSY16,Mike Garcia
HSSY16,Jamaal Bowman
HSSY16,Darrell Issa
HSSY16,Jennifer L. McClellan
HSSY16,Dale W. Strong
HSSY16,Richard McCormick
HSIF,Cathy McMorris Rodgers
HSIF,"Frank Pallone, Jr."
HSIF,Michael C. Burgess
HSIF,Anna G. Eshoo
HSIF,Robert E. Latta
HSIF,Diana DeGette
HSIF,Brett Guthrie
HSIF,Janice D. Schakowsky
HSIF,H. Morgan Griffith
HSIF,Doris O. Matsui
HSIF,Gus M. Bilirakis
HSIF,Kathy Castor
HSIF,Bill Johnson
HSIF,John P. Sarbanes
HSIF,Larry Bucshon
HSIF,Paul Tonko
HSIF,Richard Hudson
HSIF,Yvette D. Clarke
HSIF,Tim Walberg
HSIF,Tony Cárdenas
HSIF,"Earl L. ""Buddy"" Carter"
HSIF,Raul Ruiz
HSIF,Jeff Duncan
HSIF,Scott H. Peters
HSIF,Gary J. Palmer
HSIF,Debbie Dingell
HSIF,Neal P. Dunn
HSIF,Marc A. Veasey
HSIF,John R. Curtis
HSIF,Ann M. Kuster
HSIF,Debbie Lesko
HSIF,Robin L. Kelly
HSIF,Greg Pence
HSIF,Nanette Diaz Barragán
HSIF,Dan Crenshaw
HSIF,Lisa Blunt Rochester
HSIF,John Joyce
HSIF,Darren Soto
HSIF,Kelly Armstrong
HSIF,Angie Craig
HSIF,"Randy K. Weber, Sr."
HSIF,Kim Schrier
HSIF,Rick W. Allen
HSIF,Lori Trahan
HSIF,Troy Balderson
HSIF,Lizzie Fletcher
HSIF,Russ Fulcher
HSIF,August Pfluger
HSIF,Diana Harshbarger
HSIF,Mariannette Miller-Meeks
HSIF,Kat Cammack
HSIF,Jay Obernolte
HSIF02,H. Morgan Griffith
HSIF02,Kathy Castor
HSIF02,Michael C. Burgess
HSIF02,Diana DeGette
HSIF02,Brett Guthrie
HSIF02,Janice D. Schakowsky
HSIF02,Jeff Duncan
HSIF02,Paul Tonko
HSIF02,Gary J. Palmer
HSIF02,Raul Ruiz
HSIF02,Debbie Lesko
HSIF02,Scott H. Peters
HSIF02,Dan Crenshaw
HSIF02,Kelly Armstrong
HSIF02,Kat Cammack
HSIF03,Jeff Duncan
HSIF03,Diana DeGette
HSIF03,Michael C. Burgess
HSIF03,Scott H. Peters
HSIF03,Robert E. Latta
HSIF03,Lizzie Fletcher
HSIF03,Brett Guthrie
HSIF03,Doris O. Matsui
HSIF03,H. Morgan Griffith
HSIF03,Paul Tonko
HSIF03,Bill Johnson
HSIF03,Marc A. Veasey
HSIF03,Larry Bucshon
HSIF03,Ann M. Kuster
HSIF03,Tim Walberg
HSIF03,Kim Schrier
HSIF03,Gary J. Palmer
HSIF03,Kathy Castor
HSIF03,John R. Curtis
HSIF03,John P. Sarbanes
HSIF03,Debbie Lesko
HSIF03,Tony Cárdenas
HSIF03,Greg Pence
HSIF03,Lisa Blunt Rochester
HSIF03,Kelly Armstrong
HSIF03,"Randy K. Weber, Sr."
HSIF03,Troy Balderson
HSIF03,August Pfluger
HSIF18,Bill Johnson
HSIF18,Paul Tonko
HSIF18,"Earl L. ""Buddy"" Carter"
HSIF18,Diana DeGette
HSIF18,Gary J. Palmer
HSIF18,Janice D. Schakowsky
HSIF18,Dan Crenshaw
HSIF18,John P. Sarbanes
HSIF18,John Joyce
HSIF18,Yvette D. Clarke
HSIF18,"Randy K. Weber, Sr."
HSIF18,Raul Ruiz
HSIF18,Rick W. Allen
HSIF18,Scott H. Peters
HSIF18,Troy Balderson
HSIF18,Nanette Diaz Barragán
HSIF18,Russ Fulcher
HSIF18,August Pfluger
HSIF18,Mariannette Miller-Meeks
HSIF18,Jay Obernolte
HSWM,Jason Smith
HSWM,Richard E. Neal
HSWM,Vern Buchanan
HSWM,Lloyd Doggett
HSWM,Adrian Smith
HSWM,Mike Thompson
HSWM,Mike Kelly
HSWM,John B. Larson
HSWM,David Schweikert
HSWM,Earl Blumenauer
HSWM,Darin LaHood
HSWM,"Bill Pascrell, Jr."
HSWM,Brad R. Wenstrup
HSWM,Danny K. Davis
HSWM,Jodey C. Arrington
HSWM,Linda T. Sánchez
HSWM,A. Drew Ferguson IV
HSWM,Brian Higgins
HSWM,Ron Estes
HSWM,Terri A. Sewell
HSWM,Lloyd Smucker
HSWM,Suzan K. DelBene
HSWM,Kevin Hern
HSWM,Judy Chu
HSWM,Carol D. Miller
HSWM,Gwen Moore
HSWM,Gregory F. Murphy
HSWM,Daniel T. Kildee
HSWM,David Kustoff
HSWM,"Donald S. Beyer, Jr."
HSWM,Brian K. Fitzpatrick
HSWM,Dwight Evans
HSWM,W. Gregory Steube
HSWM,Bradley Scott Schneider
HSWM,Claudia Tenney
HSWM,Jimmy Panetta
HSWM,Michelle Fischbach
HSWM,Blake D. Moore
HSWM,Michelle Steel
HSWM,Beth Van Duyne
HSWM,Randy Feenstra
HSWM,Nicole Malliotakis
HSWM,Mike Carey
HSWM01,A. Drew Ferguson IV
HSWM01,John B. Larson
HSWM01,Mike Carey
HSWM01,"Bill Pascrell, Jr."
HSWM01,David Schweikert
HSWM01,Linda T. Sánchez
HSWM01,Ron Estes
HSWM01,Brian Higgins
HSWM01,Blake D. Moore
HSWM01,Daniel T. Kildee
HSWM01,Randy Feenstra
HSWM01,W. Gregory Steube
HSWM01,David Kustoff
HSWM02,Vern Buchanan
HSWM02,Lloyd Doggett
HSWM02,Adrian Smith
HSWM02,Mike Thompson
HSWM02,Mike Kelly
HSWM02,Earl Blumenauer
HSWM02,Brad R. Wenstrup
HSWM02,Brian Higgins
HSWM02,Gregory F. Murphy
HSWM02,Terri A. Sewell
HSWM02,Kevin Hern
HSWM02,Judy Chu
HSWM02,Carol D. Miller
HSWM02,Dwight Evans
HSWM02,Brian K. Fitzpatrick
HSWM02,Danny K. Davis
HSWM02,Claudia Tenney
HSWM02,Blake D. Moore
HSWM02,Michelle Steel
HSWM05,Mike Kelly
HSWM05,Mike Thompson
HSWM05,David Schweikert
HSWM05,Lloyd Doggett
HSWM05,Jodey C. Arrington
HSWM05,John B. Larson
HSWM05,A. Drew Ferguson IV
HSWM05,Linda T. Sánchez
HSWM05,Kevin Hern
HSWM05,Suzan K. DelBene
HSWM05,Ron Estes
HSWM05,Gwen Moore
HSWM05,Lloyd Smucker
HSWM05,"Donald S. Beyer, Jr."
HSWM05,David Kustoff
HSWM05,Bradley Scott Schneider
HSWM05,Beth Van Duyne
HSWM05,Randy Feenstra
HSWM05,Nicole Malliotakis
HLIG,Michael R. Turner
HLIG,James A. Himes
HLIG,Brad R. Wenstrup
HLIG,André Carson
HLIG,"Eric A. ""Rick"" Crawford"
HLIG,Joaquin Castro
HLIG,Elise M. Stefanik
HLIG,Raja Krishnamoorthi
HLIG,Trent Kelly
HLIG,Jason Crow
HLIG,Darin LaHood
HLIG,Ami Bera
HLIG,Brian K. Fitzpatrick
HLIG,Stacey E. Plaskett
HLIG,Mike Gallagher
HLIG,Josh Gottheimer
HLIG,Austin Scott
HLIG,Jimmy Gomez
HLIG,J. French Hill
HLIG,Chrissy Houlahan
HLIG,Dan Crenshaw
HLIG,Abigail Davis Spanberger
HLIG,Michael Waltz
HLIG,Mike Garcia
HSAG03,Brad Finstad
HSAG03,Jahana Hayes
HSAG03,Austin Scott
HSAG03,James P. McGovern
HSAG03,Scott DesJarlais
HSAG03,Alma S. Adams
HSAG03,James R. Baird
HSAG03,Jill N. Tokuda
HSAG03,Tracey Mann
HSAG03,Jasmine Crockett
HSAG03,John W. Rose
HSAG03,Jonathan L. Jackson
HSAG03,Marcus J. Molinaro
HSAG03,Greg Casar
HSAG03,Monica De La Cruz
HSAG03,Shontel M. Brown
HSAG03,Nicholas A. Langworthy
HSAG03,Andrea Salinas
HSAG03,Derrick Van Orden
HSAG03,Yadira Caraveo
HSAG03,Max L. Miller
HSAG14,James R. Baird
HSAG14,Abigail Davis Spanberger
HSAG14,Frank D. Lucas
HSAG14,Sharice Davids
HSAG14,Mike Bost
HSAG14,Elissa Slotkin
HSAG14,Mary E. Miller
HSAG14,Nikki Budzinski
HSAG14,Kat Cammack
HSAG14,Eric Sorensen
HSAG14,Brad Finstad
HSAG14,Jill N. Tokuda
HSAG14,John S. Duarte
HSAG14,Gabe Vasquez
HSAG14,Mark Alford
HSAG16,Austin Scott
HSAG16,Shontel M. Brown
HSAG16,"Eric A. ""Rick"" Crawford"
HSAG16,Sharice Davids
HSAG16,Doug LaMalfa
HSAG16,Donald G. Davis
HSAG16,David Rouzer
HSAG16,Eric Sorensen
HSAG16,Dusty Johnson
HSAG16,Jasmine Crockett
