Committee,Comittee_code,Subcommittee,Subcommittee_code
House Committee on Ways and Means,HSWM,Social Security,HSWM01
House Committee on Ways and Means,HSWM,Trade,HSWM04
Commission on Security and Cooperation in Europe,JCSE,,
Joint Economic Committee,JSEC,,
Joint Committee on the Library,JSLC,,
Joint Committee on Printing,JSPR,,
Joint Committee on Taxation,JSTX,,
United States Senate Caucus on International Narcotics Control,SCNC,,
Senate Select Committee on Ethics,SLET,,
Senate Committee on Indian Affairs,SLIA,,
Senate Select Committee on Intelligence,SLIN,,
Senate Special Committee on Aging,SPAG,,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,"Commodities, Risk Management, and Trade",SSAF13
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,"Conservation, Climate, Forestry, and Natural Resources",SSAF14
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,Rural Development and Energy,SSAF15
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17
Senate Committee on Appropriations,SSAP,"Commerce, Justice, Science, and Related Agencies",SSAP16
Senate Committee on Appropriations,SSAP,Energy and Water Development,SSAP22
Senate Committee on Appropriations,SSAP,Financial Services and General Government,SSAP23
Senate Committee on Appropriations,SSAP,Homeland Security,SSAP14
Senate Committee on Appropriations,SSAP,"Interior, Environment, and Related Agencies",SSAP17
Senate Committee on Appropriations,SSAP,"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18
Senate Committee on Appropriations,SSAP,"Military Construction, Veterans Affairs, and Related Agencies",SSAP19
Senate Committee on Appropriations,SSAP,"State, Foreign Operations, and Related Programs",SSAP20
Senate Committee on Appropriations,SSAP,"Transportation, Housing and Urban Development, and Related Agencies",SSAP24
Senate Committee on Appropriations,SSAP,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01
Senate Committee on Appropriations,SSAP,Defense,SSAP02
Senate Committee on Appropriations,SSAP,Legislative Branch,SSAP08
Senate Committee on Armed Services,SSAS,Airland,SSAS14
Senate Committee on Armed Services,SSAS,Emerging Threats and Capabilities,SSAS20
Senate Committee on Armed Services,SSAS,Personnel,SSAS17
Senate Committee on Armed Services,SSAS,Readiness and Management Support,SSAS15
Senate Committee on Armed Services,SSAS,Seapower,SSAS13
Senate Committee on Armed Services,SSAS,Strategic Forces,SSAS16
Senate Committee on Armed Services,SSAS,Cybersecurity,SSAS21
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,Economic Policy,SSBK12
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,National Security and International Trade and Finance,SSBK05
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,"Securities, Insurance, and Investment",SSBK04
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,"Housing, Transportation, and Community Development",SSBK09
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,Financial Institutions and Consumer Protection,SSBK08
Senate Committee on the Budget,SSBU,,
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Aviation Safety, Operations, and Innovation",SSCM33
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Communications, Media, and Broadband",SSCM34
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Consumer Protection, Product Safety, and Data Security",SSCM35
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM36
"Senate Committee on Commerce, Science, and Transportation",SSCM,Space and Science,SSCM37
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Surface Transportation, Maritime, Freight, and Ports",SSCM38
"Senate Committee on Commerce, Science, and Transportation",SSCM,"Tourism, Trade, and Export Promotion",SSCM39
Senate Committee on Energy and Natural Resources,SSEG,Water and Power,SSEG07
Senate Committee on Energy and Natural Resources,SSEG,National Parks,SSEG04
Senate Committee on Energy and Natural Resources,SSEG,Energy,SSEG01
Senate Committee on Energy and Natural Resources,SSEG,"Public Lands, Forests, and Mining",SSEG03
Senate Committee on Environment and Public Works,SSEV,"Clean Air, Climate, and Nuclear Safety",SSEV10
Senate Committee on Environment and Public Works,SSEV,"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09
Senate Committee on Environment and Public Works,SSEV,Transportation and Infrastructure,SSEV08
Senate Committee on Environment and Public Works,SSEV,"Fisheries, Water, and Wildlife",SSEV15
Senate Committee on Finance,SSFI,"Energy, Natural Resources, and Infrastructure",SSFI12
Senate Committee on Finance,SSFI,Health Care,SSFI10
Senate Committee on Finance,SSFI,"International Trade, Customs, and Global Competitiveness",SSFI13
Senate Committee on Finance,SSFI,Fiscal Responsibility and Economic Growth,SSFI14
Senate Committee on Finance,SSFI,Taxation and IRS Oversight,SSFI11
Senate Committee on Finance,SSFI,"Social Security, Pensions, and Family Policy",SSFI02
Senate Committee on Foreign Relations,SSFR,Europe and Regional Security Cooperation,SSFR01
Senate Committee on Foreign Relations,SSFR,Africa and Global Health Policy,SSFR09
Senate Committee on Foreign Relations,SSFR,"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02
Senate Committee on Foreign Relations,SSFR,"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07
Senate Committee on Foreign Relations,SSFR,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06
Senate Committee on Foreign Relations,SSFR,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15
Senate Committee on Foreign Relations,SSFR,"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14
Senate Committee on Homeland Security and Governmental Affairs,SSGA,Permanent Subcommittee on Investigations,SSGA01
Senate Committee on Homeland Security and Governmental Affairs,SSGA,Emerging Threats and Spending Oversight,SSGA20
Senate Committee on Homeland Security and Governmental Affairs,SSGA,Government Operations and Border Management,SSGA22
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,Employment and Workplace Safety,SSHR11
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,Primary Health and Retirement Security,SSHR12
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,Children and Families,SSHR09
Senate Committee on the Judiciary,SSJU,the Constitution,SSJU21
Senate Committee on the Judiciary,SSJU,Criminal Justice and Counterterrorism,SSJU22
Senate Committee on the Judiciary,SSJU,"Competition Policy, Antitrust, and Consumer Rights",SSJU01
Senate Committee on the Judiciary,SSJU,"Immigration, Citizenship, and Border Safety",SSJU04
Senate Committee on the Judiciary,SSJU,"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25
Senate Committee on the Judiciary,SSJU,Intellectual Property,SSJU26
Senate Committee on the Judiciary,SSJU,Human Rights and the Law,SSJU27
Senate Committee on the Judiciary,SSJU,"Privacy, Technology, and the Law",SSJU28
Senate Committee on Rules and Administration,SSRA,,
Senate Committee on Small Business and Entrepreneurship,SSSB,,
Senate Committee on Veterans' Affairs,SSVA,,
House Select Subcommittee on the Coronavirus Pandemic,HSVC,,
House Select Subcommittee on the Weaponization of the Federal Government,HSFD,,
House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,HSZS,,
