industry,industry_description
Computer Communications Equipment,Manufacturers of computer communications equipment.
Oil/Gas Transmission,Companies involved in oil and gas transmission services.
Recreational Products/Toys,Manufacturers of recreational products and toys.
Metal Fabrications,Companies specializing in metal fabrications.
Water Supply,Companies involved in water supply services.
Building operators,Companies involved in building operations and related services.
Specialty Chemicals,Manufacturers and distributors of specialty chemicals.
Savings Institutions,Institutions specializing in savings and related services.
"Trusts, Except Educational, Religious, and Charitable","Trust organizations providing various services except for educational, religious, and charitable purposes."
Retail: Computer Software & Peripheral Equipment,Retailers specializing in computer software and peripheral equipment.
Shoe Manufacturing,Manufacturers of footwear and related products.
Building Products,Companies involved in the production of building products.
Fluid Controls,Manufacturers of fluid control products.
Rental/Leasing Companies,Companies engaged in rental and leasing services.
Home Furnishings,Manufacturers and retailers specializing in home furnishings.
Commercial Banks,Large-scale commercial banks offering various financial services.
Paper,Manufacturers and distributors in the paper industry.
Specialty Foods,Manufacturers and distributors specializing in specialty food products.
Ophthalmic Goods,Manufacturers of ophthalmic goods and related products.
Pharmaceuticals and Biotechnology,Companies involved in the production of pharmaceuticals and biotechnology-related products.
Biotechnology: In Vitro & In Vivo Diagnostic Substances,Biotechnology companies specializing in in vitro and in vivo diagnostic substances.
Internet and Information Services,Companies engaged in internet and information-related services.
Interactive Media,Companies providing interactive media and related content.
Pollution Control Equipment,Manufacturers of pollution control equipment.
Coal Mining,Companies engaged in coal mining activities.
"Water, Sewer, Pipeline, Comm & Power Line Construction","Companies involved in water, sewer, pipeline, communication, and power line construction."
Medical Electronics,Manufacturers of medical electronic devices and related products.
Engineering & Construction,Companies engaged in engineering and construction services.
Wholesale Distributors,Distributors specializing in wholesale trade.
Meat/Poultry/Fish,"Manufacturers and distributors in the meat, poultry, and fish industry."
Service to the Health Industry,Service providers catering to the health industry.
Accident &Health Insurance,Companies providing accident and health insurance services.
Mining & Quarrying of Nonmetallic Minerals (No Fuels),Companies engaged in mining and quarrying of non-metallic minerals excluding fuels.
Auto & Home Supply Stores,Retailers specializing in automotive and home supply products.
Other Metals and Minerals,Manufacturers and distributors in other metals and minerals sectors.
Newspapers/Magazines,Companies involved in newspaper and magazine publishing.
Precision Instruments,Manufacturers of precision instruments and related equipment.
Forest Products,Companies involved in forest product manufacturing and distribution.
Electronics Distribution,Distributors specializing in electronics and related products.
Cable & Other Pay Television Services,Companies providing cable and other pay television services.
Tobacco,Manufacturers and distributors in the tobacco industry.
Steel/Iron Ore,Companies engaged in the production and distribution of steel and iron ore.
Recreational Games/Products/Toys,"Manufacturers of recreational games, products, and toys."
Retail-Drug Stores and Proprietary Stores,Retailers specializing in drug and proprietary stores.
Banks,Financial institutions specializing in banking services.
Metal Mining,Companies involved in metal mining and related activities.
nan,Not applicable or not available
Ordnance And Accessories,Manufacturing and supply of military equipment and accessories
Motor Vehicles,Production and sale of automobiles and motorcycles
Assisted Living Services,Provision of residential care and personal assistance for the elderly or disabled
Medicinal Chemicals and Botanical Products,Manufacture of pharmaceutical substances and natural medicinal products
Building Materials,Production and distribution of materials used in construction
Books,"Publishing, distribution, and retail of printed books and ebooks"
Finance Companies,"Financial services such as loans, credit facilities, and investment products"
Tools/Hardware,"Manufacture and sale of hand tools, power tools, and hardware supplies"
Security Systems Services,"Provision of security systems, surveillance, and monitoring services"
