member_id,member_name,member_begin_date,congress,chamber,committee_id
M001137,Gregory W. Meeks,2019-01-17,116,house,HSBA
S001187,Steve Stivers,2019-01-23,116,house,HSBA
C001049,William Lacy Clay,2019-01-17,116,house,HSBA
W000812,Ann Wagner,2019-01-23,116,house,HSBA
S001157,David Scott,2019-01-17,116,house,HSBA
B001282,Andy Barr,2019-01-23,116,house,HSBA
G000553,Al Green,2019-01-17,116,house,HSBA
T000470,Scott Tipton,2019-01-23,116,house,HSBA
C001061,Emanuel Cleaver II,2019-01-17,116,house,HSBA
W000816,Roger Williams,2019-01-23,116,house,HSBA
P000593,Ed Perlmutter,2019-01-17,116,house,HSBA
H001072,French Hill,2019-01-23,116,house,HSBA
H001047,Jim Himes,2019-01-17,116,house,HSBA
E000294,Tom Emmer,2019-01-23,116,house,HSBA
F000454,Bill Foster,2019-01-17,116,house,HSBA
Z000017,Lee Zeldin,2019-01-23,116,house,HSBA
B001281,Joyce Beatty,2019-01-17,116,house,HSBA
L000583,Barry Loudermilk,2019-01-23,116,house,HSBA
H001064,Denny Heck,2019-01-17,116,house,HSBA
M001195,Alex Mooney,2019-01-23,116,house,HSBA
V000130,Juan Vargas,2019-01-17,116,house,HSBA
D000626,Warren Davidson,2019-01-23,116,house,HSBA
G000583,Josh Gottheimer,2019-01-17,116,house,HSBA
B001305,Ted Budd,2019-01-23,116,house,HSBA
G000581,Vicente Gonzalez,2019-01-17,116,house,HSBA
K000392,David Kustoff,2019-01-23,116,house,HSBA
L000586,Al Lawson,2019-01-17,116,house,HSBA
H001074,Trey Hollingsworth,2019-01-23,116,house,HSBA
S001204,Michael San Nicolas,2019-01-17,116,house,HSBA
G000588,Anthony Gonzalez,2019-01-23,116,house,HSBA
T000481,Rashida Tlaib,2019-01-17,116,house,HSBA
R000612,John Rose,2019-01-23,116,house,HSBA
P000618,Katie Porter,2019-01-17,116,house,HSBA
S001213,Bryan Steil,2019-01-23,116,house,HSBA
A000378,Cynthia Axne,2019-01-17,116,house,HSBA
G000589,Lance Gooden,2019-01-23,116,house,HSBA
C001117,Sean Casten,2019-01-17,116,house,HSBA
R000611,Denver Riggleman,2019-01-23,116,house,HSBA
P000617,Ayanna Pressley,2019-01-17,116,house,HSBA
T000480,William Timmons,2019-09-26,116,house,HSBA
M001209,Ben McAdams,2019-01-17,116,house,HSBA
T000479,Van Taylor,2020-01-16,116,house,HSBA
O000172,Alexandria Ocasio-Cortez,2019-01-17,116,house,HSBA
W000825,Jennifer Wexton,2019-01-17,116,house,HSBA
L000562,Stephen F. Lynch,2019-01-17,116,house,HSBA
G000571,Tulsi Gabbard,2019-01-17,116,house,HSBA
A000370,Alma Adams,2019-01-17,116,house,HSBA
D000631,Madeleine Dean,2019-01-17,116,house,HSBA
G000586,Jesús García,2019-01-17,116,house,HSBA
G000587,Sylvia Garcia,2019-01-17,116,house,HSBA
P000616,Dean Phillips,2019-01-17,116,house,HSBA
M001157,Michael McCaul,2019-01-04,116,house,HSFA
E000179,Eliot L. Engel,2019-01-04,116,house,HSFA
S000522,Christopher H. Smith,2019-01-23,116,house,HSFA
S000344,Brad Sherman,2019-01-17,116,house,HSFA
C000266,Steven J. Chabot,2019-01-23,116,house,HSFA
M001137,Gregory W. Meeks,2019-01-17,116,house,HSFA
W000795,Joe Wilson,2019-01-23,116,house,HSFA
S001165,Albio Sires,2019-01-17,116,house,HSFA
P000605,Scott Perry,2019-01-23,116,house,HSFA
C001078,Gerald E. Connolly,2019-01-17,116,house,HSFA
Y000065,Ted Yoho,2019-01-23,116,house,HSFA
D000610,Ted Deutch,2019-01-17,116,house,HSFA
K000378,Adam Kinzinger,2019-01-23,116,house,HSFA
B001270,Karen Bass,2019-01-17,116,house,HSFA
Z000017,Lee Zeldin,2019-01-23,116,house,HSFA
K000375,Bill Keating,2019-01-17,116,house,HSFA
S000244,F. James Sensenbrenner,2019-01-23,116,house,HSFA
C001084,David Cicilline,2019-01-17,116,house,HSFA
W000812,Ann Wagner,2019-01-23,116,house,HSFA
B001287,Ami Bera,2019-01-17,116,house,HSFA
M001199,Brian Mast,2019-01-23,116,house,HSFA
C001091,Joaquín Castro,2019-01-17,116,house,HSFA
R000607,Francis Rooney,2019-01-23,116,house,HSFA
T000468,Dina Titus,2019-01-17,116,house,HSFA
F000466,Brian Fitzpatrick,2019-01-23,116,house,HSFA
E000297,Adriano Espaillat,2019-01-17,116,house,HSFA
C001114,John Curtis,2019-01-23,116,house,HSFA
L000582,Ted Lieu,2019-01-17,116,house,HSFA
B001297,Ken Buck,2019-01-23,116,house,HSFA
W000826,Susan Wild,2019-01-17,116,house,HSFA
W000827,Ron Wright,2019-01-23,116,house,HSFA
P000616,Dean Phillips,2019-01-17,116,house,HSFA
R000610,Guy Reschenthaler,2019-01-23,116,house,HSFA
O000173,Ilhan Omar,2019-01-17,116,house,HSFA
B001309,Tim Burchett,2019-01-23,116,house,HSFA
A000376,Colin Allred,2019-01-17,116,house,HSFA
P000615,Greg Pence,2019-01-23,116,house,HSFA
L000592,Andy Levin,2019-01-17,116,house,HSFA
W000824,Steven Watkins,2019-01-23,116,house,HSFA
S001209,Abigail Spanberger,2019-01-17,116,house,HSFA
G000591,Michael Guest,2019-01-23,116,house,HSFA
H001085,Chrissy Houlahan,2019-01-17,116,house,HSFA
M001203,Tom Malinowski,2019-01-17,116,house,HSFA
T000483,David Trone,2019-01-17,116,house,HSFA
C001059,Jim Costa,2019-01-17,116,house,HSFA
V000130,Juan Vargas,2019-01-17,116,house,HSFA
G000581,Vicente Gonzalez,2019-01-17,116,house,HSFA
R000575,Mike D. Rogers,2019-01-04,116,house,HSHM
T000193,Bennie Thompson,2019-01-04,116,house,HSHM
K000210,Peter T. King,2019-01-23,116,house,HSHM
J000032,Sheila Jackson Lee,2019-01-23,116,house,HSHM
M001157,Michael McCaul,2019-01-23,116,house,HSHM
L000559,Jim Langevin,2019-01-23,116,house,HSHM
K000386,John Katko,2019-01-23,116,house,HSHM
R000588,Cedric Richmond,2019-01-23,116,house,HSHM
W000819,Mark Walker,2019-01-23,116,house,HSHM
P000604,Donald M. Payne Jr.,2019-01-23,116,house,HSHM
H001077,Clay Higgins,2019-01-23,116,house,HSHM
R000602,Kathleen Rice,2019-01-23,116,house,HSHM
L000589,Debbie Lesko,2019-01-23,116,house,HSHM
C001110,J. Luis Correa,2019-01-23,116,house,HSHM
G000590,Mark Green,2019-01-23,116,house,HSHM
T000484,Xochitl Torres Small,2019-01-23,116,house,HSHM
J000302,John Joyce,2019-01-23,116,house,HSHM
R000613,Max Rose,2019-01-23,116,house,HSHM
C001120,Dan Crenshaw,2019-01-23,116,house,HSHM
U000040,Lauren Underwood,2019-01-23,116,house,HSHM
G000591,Michael Guest,2019-01-23,116,house,HSHM
S001208,Elissa Slotkin,2019-01-23,116,house,HSHM
B001311,Dan Bishop,2019-09-26,116,house,HSHM
C001061,Emanuel Cleaver II,2019-01-23,116,house,HSHM
V000133,Jefferson Van Drew,2020-01-16,116,house,HSHM
G000553,Al Green,2019-01-23,116,house,HSHM
C001067,Yvette D. Clarke,2019-01-23,116,house,HSHM
T000468,Dina Titus,2019-01-23,116,house,HSHM
W000822,Bonnie Watson Coleman,2019-01-23,116,house,HSHM
B001300,Nanette Barragán,2019-01-23,116,house,HSHM
D000627,Val Demings,2019-01-23,116,house,HSHM
B001250,Rob Bishop,2019-01-04,116,house,HSII
G000551,Raúl M. Grijalva,2019-01-04,116,house,HSII
Y000033,Don Young,2019-01-24,116,house,HSII
N000179,Grace F. Napolitano,2019-01-24,116,house,HSII
G000552,Louie Gohmert,2019-01-24,116,house,HSII
C001059,Jim Costa,2019-01-24,116,house,HSII
L000564,Doug Lamborn,2019-01-24,116,house,HSII
S001177,Gregorio Kilili Camacho Sablan,2019-01-24,116,house,HSII
W000804,Robert J. Wittman,2019-01-24,116,house,HSII
H001068,Jared Huffman,2019-01-24,116,house,HSII
M001177,Tom McClintock,2019-01-24,116,house,HSII
L000579,Alan Lowenthal,2019-01-24,116,house,HSII
G000565,Paul Gosar,2019-01-24,116,house,HSII
G000574,Ruben Gallego,2019-01-24,116,house,HSII
C001124,TJ Cox,2019-01-24,116,house,HSII
W000821,Bruce Westerman,2019-01-24,116,house,HSII
N000191,Joe Neguse,2019-01-24,116,house,HSII
G000577,Garret Graves,2019-01-24,116,house,HSII
L000593,Mike Levin,2019-01-24,116,house,HSII
H001071,Jody Hice,2019-01-24,116,house,HSII
H001080,Debra Haaland,2019-01-24,116,house,HSII
R000600,Amata Coleman Radewagen,2019-01-24,116,house,HSII
C001122,Joe Cunningham,2019-01-24,116,house,HSII
W000806,Daniel Webster,2019-01-24,116,house,HSII
V000081,Nydia M. Velázquez,2019-01-24,116,house,HSII
C001109,Liz Cheney,2019-01-24,116,house,HSII
D000197,Diana DeGette,2019-01-24,116,house,HSII
J000299,Mike Johnson,2019-01-24,116,house,HSII
C001049,William Lacy Clay,2019-01-24,116,house,HSII
G000582,Jenniffer González-Colón,2019-01-24,116,house,HSII
D000624,Debbie Dingell,2019-01-24,116,house,HSII
C001114,John Curtis,2019-01-24,116,house,HSII
B001304,Anthony Brown,2019-01-24,116,house,HSII
H001082,Kevin Hern,2019-01-24,116,house,HSII
M001200,A. Donald McEachin,2019-01-24,116,house,HSII
F000469,Russ Fulcher,2019-01-24,116,house,HSII
S001200,Darren Soto,2019-01-24,116,house,HSII
C001055,Ed Case,2019-01-24,116,house,HSII
H001066,Steven Horsford,2019-01-24,116,house,HSII
S001204,Michael San Nicolas,2019-01-24,116,house,HSII
C001090,Matt Cartwright,2019-02-13,116,house,HSII
T000469,Paul Tonko,2019-02-26,116,house,HSII
G000586,Jesús García,2020-01-14,116,house,HSII
M000087,Carolyn B. Maloney,2019-01-23,116,house,HSGO
J000289,Jim Jordan,2019-01-04,116,house,HSGO
N000147,Eleanor Holmes Norton,2019-01-23,116,house,HSGO
G000565,Paul Gosar,2019-01-23,116,house,HSGO
C001049,William Lacy Clay,2019-01-23,116,house,HSGO
F000450,Virginia Foxx,2019-01-23,116,house,HSGO
L000562,Stephen F. Lynch,2019-01-23,116,house,HSGO
M001184,Thomas Massie,2019-01-23,116,house,HSGO
C000754,Jim Cooper,2019-01-23,116,house,HSGO
H001071,Jody Hice,2019-01-23,116,house,HSGO
C001078,Gerald E. Connolly,2019-01-23,116,house,HSGO
G000576,Glenn Grothman,2019-01-23,116,house,HSGO
K000391,Raja Krishnamoorthi,2019-01-23,116,house,HSGO
C001108,James Comer,2019-01-23,116,house,HSGO
R000606,Jamie Raskin,2019-01-23,116,house,HSGO
C001115,Michael Cloud,2019-01-23,116,house,HSGO
R000616,Harley Rouda,2019-01-23,116,house,HSGO
G000563,Bob Gibbs,2019-01-23,116,house,HSGO
W000797,Debbie Wasserman Schultz,2019-01-23,116,house,HSGO
H001077,Clay Higgins,2019-01-23,116,house,HSGO
S001168,John Sarbanes,2019-01-23,116,house,HSGO
N000190,Ralph Norman,2019-01-23,116,house,HSGO
W000800,Peter Welch,2019-01-23,116,house,HSGO
R000614,Chip Roy,2019-01-23,116,house,HSGO
S001175,Jackie Speier,2019-01-23,116,house,HSGO
M001205,Carol Miller,2019-01-23,116,house,HSGO
K000385,Robin Kelly,2019-01-23,116,house,HSGO
G000590,Mark Green,2019-01-23,116,house,HSGO
D000623,Mark DeSaulnier,2019-01-23,116,house,HSGO
A000377,Kelly Armstrong,2019-01-23,116,house,HSGO
L000581,Brenda Lawrence,2019-01-23,116,house,HSGO
S001214,Greg Steube,2019-01-23,116,house,HSGO
