name,code,begin_date,end_date,parent_committee_id,member_id
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,B001243
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,B001243
Cybersecurity,SSAS21,,2021-01-03,SSAS,B001243
the Constitution,SSJU21,,2021-01-03,SSJU,B001243
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,B001243
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,B001277
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,B001277
"Science, Oceans, Fisheries, and Weather",SSCM30,2019-01-24,2021-01-03,SSCM,B001277
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,B001277
Security,SSCM31,,2021-01-03,SSCM,B001277
Intellectual Property,SSJU26,,2021-01-03,SSJU,B001277
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,B001277
Cybersecurity,SSAS21,,2021-01-03,SSAS,B001277
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,B001277
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,B001277
Seapower,SSAS13,,2021-01-03,SSAS,B001277
Airland,SSAS14,,2021-01-03,SSAS,B001277
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,B000575
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,B000575
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,B000575
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,B000575
Defense,SSAP02,,2021-01-03,SSAP,B000575
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,B000575
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,B000575
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,B000575
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,B000575
Security,SSCM31,,2021-01-03,SSCM,B000575
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,B001288
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,B001288
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,B001288
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,B001288
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2021-01-03,SSFR,B001288
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,B001288
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,B001288
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,B001288
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,B001288
Defense,SSAP02,,2021-01-03,SSAP,B001236
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,B001236
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,B001236
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,B001236
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,B001236
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,B001236
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,B001236
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,B001236
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,B001236
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,B001236
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,B001236
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,B001236
"Clean Air, Climate, and Nuclear Safety",SSEV10,2019-01-28,2021-01-03,SSEV,B001310
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,B001310
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,B001310
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,B001310
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,B001310
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,B001310
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,B001310
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,B001310
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,B000944
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,B000944
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,B000944
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,B000944
National Security and International Trade and Finance,SSBK05,2019-01-18,2021-01-03,SSBK,B000944
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,B000944
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,B000944
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,B000944
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,B000944
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,B000944
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,B000944
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,B001135
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,B001135
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,B001135
Children and Families,SSHR09,,2021-01-03,SSHR,B001135
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,B001135
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,B001135
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,C000127
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,C000127
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,C000127
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,C000127
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C000127
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C000127
Security,SSCM31,,2021-01-03,SSCM,C000127
"Communications, Technology, Innovation, and the Internet",SSCM26,,2021-01-03,SSCM,C000127
Aviation and Space,SSCM28,,2021-01-03,SSCM,C000127
"Manufacturing, Trade, and Consumer Protection",SSCM29,,2021-01-03,SSCM,C000127
"Science, Oceans, Fisheries, and Weather",SSCM30,,2021-01-03,SSCM,C000127
Transportation and Safety,SSCM32,,2021-01-03,SSCM,C000127
Transportation and Infrastructure,SSEV08,2019-01-28,2021-01-03,SSEV,C001047
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,C001047
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,C001047
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,C001047
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,C001047
Homeland Security,SSAP14,,2021-01-03,SSAP,C001047
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,C001047
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,C001047
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,C001047
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,C001047
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,C001047
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,C001047
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,C001047
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,C000141
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C000141
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C000141
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,C000141
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,C000141
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,C000141
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,C000141
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,C000141
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,C000141
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,C000174
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,C000174
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,C000174
Regulatory Affairs and Federal Management,SSGA19,2019-01-31,2021-01-03,SSGA,C000174
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C000174
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,C000174
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,C000174
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,C000174
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,C000174
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C001070
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,C001070
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C001070
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,C001070
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,C001070
Children and Families,SSHR09,,2021-01-03,SSHR,C001070
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,C001070
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,C001070
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,C001075
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,C001075
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,C001075
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C001075
Fiscal Responsibility and Economic Growth,SSFI14,2019-01-31,2021-01-03,SSFI,C001075
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,C001075
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C001075
Children and Families,SSHR09,,2021-01-03,SSHR,C001075
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,C001075
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,C001075
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,C001035
Defense,SSAP02,,2021-01-03,SSAP,C001035
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,C001035
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,C001035
Energy and Water Development,SSAP22,,2021-01-03,SSAP,C001035
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,C001035
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,C001035
Intellectual Property,SSJU26,,2021-01-03,SSJU,C001088
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,C001088
the Constitution,SSJU21,,2021-01-03,SSJU,C001088
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,C001088
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,C001088
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,C001088
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2021-01-03,SSFR,C001088
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,C001088
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,C001088
Energy and Water Development,SSAP22,,2021-01-03,SSAP,C001088
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,C001088
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,C001088
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,C001056
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C001056
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,C001056
Intellectual Property,SSJU26,,2021-01-03,SSJU,C001056
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,C001056
the Constitution,SSJU21,,2021-01-03,SSJU,C001056
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,C001056
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,C001113
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,C001113
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,C001113
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C001113
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,C001113
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,C001113
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,C001113
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,C001113
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,C001113
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,C001095
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,C001095
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,C001095
Strategic Forces,SSAS16,,2021-01-03,SSAS,C001095
Seapower,SSAS13,,2021-01-03,SSAS,C001095
Airland,SSAS14,,2021-01-03,SSAS,C001095
"Fisheries, Water, and Wildlife",SSEV15,2019-01-28,2021-01-03,SSEV,C001096
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,C001096
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,C001096
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,C001096
Strategic Forces,SSAS16,,2021-01-03,SSAS,C001096
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,C001096
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,C001096
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,C001096
Airland,SSAS14,,2021-01-03,SSAS,C001096
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,C000880
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,C000880
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,C000880
"Securities, Insurance, and Investment",SSBK04,2019-01-18,2021-01-03,SSBK,C000880
National Security and International Trade and Finance,SSBK05,2019-01-18,2021-01-03,SSBK,C000880
Financial Institutions and Consumer Protection,SSBK08,2019-01-18,2021-01-03,SSBK,C000880
"Housing, Transportation, and Community Development",SSBK09,2019-01-18,2021-01-03,SSBK,C000880
Economic Policy,SSBK12,2019-01-18,2021-01-03,SSBK,C000880
Intellectual Property,SSJU26,,2021-01-03,SSJU,C000880
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,C000880
the Constitution,SSJU21,,2021-01-03,SSJU,C000880
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,C000880
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,C001098
"Science, Oceans, Fisheries, and Weather",SSCM30,2019-01-24,2021-01-03,SSCM,C001098
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,C001098
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,C001098
the Constitution,SSJU21,,2021-01-03,SSJU,C001098
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,C001098
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,C001098
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,C001098
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,C001098
Security,SSCM31,,2021-01-03,SSCM,C001098
Energy,SSEG01,2019-02-05,2021-01-03,SSEG,D000618
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,D000618
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,D000618
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,D000618
"International Trade, Customs, and Global Competitiveness",SSFI13,2019-01-31,2021-01-03,SSFI,D000618
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,D000618
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,D000618
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,D000618
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,D000618
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,D000618
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,D000618
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,D000622
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,D000622
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,D000622
Security,SSCM31,,2021-01-03,SSCM,D000622
Personnel,SSAS17,,2021-01-03,SSAS,D000622
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,D000622
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,D000622
Airland,SSAS14,,2021-01-03,SSAS,D000622
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,D000622
Defense,SSAP02,,2021-01-03,SSAP,D000563
Intellectual Property,SSJU26,,2021-01-03,SSJU,D000563
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,D000563
the Constitution,SSJU21,,2021-01-03,SSJU,D000563
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,D000563
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,D000563
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,D000563
Energy and Water Development,SSAP22,,2021-01-03,SSAP,D000563
Financial Services and General Government,SSAP23,,2021-01-03,SSAP,D000563
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,D000563
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,D000563
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,D000563
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,D000563
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,E000295
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,E000295
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,E000295
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,E000295
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,E000295
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,E000295
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,E000295
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,E000295
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,E000295
Seapower,SSAS13,,2021-01-03,SSAS,E000295
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,E000295
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,F000062
Defense,SSAP02,,2021-01-03,SSAP,F000062
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,F000062
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,F000062
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,F000062
"Interior, Environment, and Related Agencies",SSAP17,,2021-01-03,SSAP,F000062
Energy and Water Development,SSAP22,,2021-01-03,SSAP,F000062
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,F000062
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,F000463
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,F000463
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,F000463
Emerging Threats and Capabilities,SSAS20,,2021-01-03,SSAS,F000463
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,F000463
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,F000463
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,F000463
Readiness and Management Support,SSAS15,,2021-01-03,SSAS,F000463
Strategic Forces,SSAS16,,2021-01-03,SSAS,F000463
Security,SSCM31,,2021-01-03,SSCM,F000463
Personnel,SSAS17,,2021-01-03,SSAS,G000555
Cybersecurity,SSAS21,,2021-01-03,SSAS,G000555
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,G000555
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,G000555
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,G000555
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,G000555
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2021-01-03,SSAF,G000555
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,G000555
Intellectual Property,SSJU26,,2021-01-03,SSJU,G000359
Defense,SSAP02,,2021-01-03,SSAP,G000359
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,G000359
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2021-01-03,SSAP,G000359
Criminal Justice and Counterterrorism,SSJU22,,2021-01-03,SSJU,G000359
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,G000359
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2021-01-03,SSFR,G000359
Africa and Global Health Policy,SSFR09,,2021-01-03,SSFR,G000359
"State, Foreign Operations, and Related Programs",SSAP20,,2021-01-03,SSAP,G000359
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,G000359
Energy and Water Development,SSAP22,,2021-01-03,SSAP,G000359
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2021-01-03,SSAP,G000359
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,G000386
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,G000386
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,G000386
Intellectual Property,SSJU26,,2021-01-03,SSJU,G000386
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2021-01-03,SSJU,G000386
"International Trade, Customs, and Global Competitiveness",SSFI13,,2021-01-03,SSFI,G000386
"Immigration, Citizenship, and Border Safety",SSJU04,,2021-01-03,SSJU,G000386
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2021-01-03,SSJU,G000386
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,G000386
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,G000386
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2021-01-03,SSAF,G000386
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,H001075
Federal Spending Oversight and Emergency Management,SSGA18,2019-01-31,2021-01-03,SSGA,H001075
Intellectual Property,SSJU26,,2021-01-03,SSJU,H001075
the Constitution,SSJU21,,2021-01-03,SSJU,H001075
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,H001076
Fiscal Responsibility and Economic Growth,SSFI14,2019-01-31,2021-01-03,SSFI,H001076
Permanent Subcommittee on Investigations,SSGA01,2019-01-31,2021-01-03,SSGA,H001076
Federal Spending Oversight and Emergency Management,SSGA18,2019-01-31,2021-01-03,SSGA,H001076
Health Care,SSFI10,2019-01-31,2021-01-03,SSFI,H001076
