name,code,begin_date,end_date,parent_committee_id,member_id
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,B000944
Economic Policy,SSBK12,,2025-01-03,SSBK,B000944
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,B000944
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,B000944
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,B000944
"Securities, Insurance, and Investment",SSBK04,,2025-01-03,SSBK,B000944
Employment and Workplace Safety,SSHR11,,2025-01-03,SSHR,B001305
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,B001305
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,B001305
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,B001305
Cybersecurity,SSAS21,,2025-01-03,SSAS,B001305
Emerging Threats and Capabilities,SSAS20,,2025-01-03,SSAS,B001305
Personnel,SSAS17,,2025-01-03,SSAS,B001305
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,B001305
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,B001305
"Aviation Safety, Operations, and Innovation",SSCM33,,2025-01-03,SSCM,C000127
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,C000127
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,C000127
"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM36,,2025-01-03,SSCM,C000127
Space and Science,SSCM37,,2025-01-03,SSCM,C000127
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,C000127
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,C000127
"Fisheries, Water, and Wildlife",SSEV15,,2025-01-03,SSEV,C001047
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,C001047
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,C001047
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,C001047
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,C001047
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,C001047
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,C001047
Defense,SSAP02,,2025-01-03,SSAP,C001047
Homeland Security,SSAP14,,2025-01-03,SSAP,C001047
"Interior, Environment, and Related Agencies",SSAP17,,2025-01-03,SSAP,C001047
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2025-01-03,SSEV,C001047
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,C001047
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2025-01-03,SSEV,C001047
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,C000141
Health Care,SSFI10,,2025-01-03,SSFI,C000141
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C000141
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,C000141
Europe and Regional Security Cooperation,SSFR01,,2025-01-03,SSFR,C000141
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2025-01-03,SSFR,C000141
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2025-01-03,SSFR,C000141
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2025-01-03,SSFR,C000141
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2025-01-03,SSEV,C000141
"Fisheries, Water, and Wildlife",SSEV15,,2025-01-03,SSEV,C000141
"Fisheries, Water, and Wildlife",SSEV15,,2025-01-03,SSEV,C000174
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,C000174
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,C000174
Permanent Subcommittee on Investigations,SSGA01,,2025-01-03,SSGA,C000174
Health Care,SSFI10,,2025-01-03,SSFI,C000174
Government Operations and Border Management,SSGA22,,2025-01-03,SSGA,C000174
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C000174
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2025-01-03,SSEV,C000174
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2025-01-03,SSEV,C000174
Employment and Workplace Safety,SSHR11,,2025-01-03,SSHR,C001070
Health Care,SSFI10,,2025-01-03,SSFI,C001070
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C001070
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,C001070
Children and Families,SSHR09,,2025-01-03,SSHR,C001070
Children and Families,SSHR09,,2025-01-03,SSHR,C001075
Employment and Workplace Safety,SSHR11,,2025-01-03,SSHR,C001075
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,C001075
Health Care,SSFI10,,2025-01-03,SSFI,C001075
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C001075
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,C001075
Energy,SSEG01,,2025-01-03,SSEG,C001075
"Public Lands, Forests, and Mining",SSEG03,,2025-01-03,SSEG,C001075
Water and Power,SSEG07,,2025-01-03,SSEG,C001075
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,C001035
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,C001035
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,C001035
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,C001035
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2025-01-03,SSAP,C001035
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,C001035
Defense,SSAP02,,2025-01-03,SSAP,C001035
Energy and Water Development,SSAP22,,2025-01-03,SSAP,C001035
Financial Services and General Government,SSAP23,,2025-01-03,SSAP,C001035
Homeland Security,SSAP14,,2025-01-03,SSAP,C001035
"Interior, Environment, and Related Agencies",SSAP17,,2025-01-03,SSAP,C001035
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,C001035
Legislative Branch,SSAP08,,2025-01-03,SSAP,C001035
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,C001088
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,C001088
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,C001088
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,C001088
Africa and Global Health Policy,SSFR09,,2025-01-03,SSFR,C001088
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2025-01-03,SSFR,C001088
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,C001088
Energy and Water Development,SSAP22,,2025-01-03,SSAP,C001088
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2025-01-03,SSFR,C001088
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,C001088
Financial Services and General Government,SSAP23,,2025-01-03,SSAP,C001088
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2025-01-03,SSFR,C001088
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,C001088
Intellectual Property,SSJU26,,2025-01-03,SSJU,C001088
"Privacy, Technology, and the Law",SSJU28,,2025-01-03,SSJU,C001088
the Constitution,SSJU21,,2025-01-03,SSJU,C001056
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,C001056
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C001056
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,C001056
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,C001056
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,C001056
Intellectual Property,SSJU26,,2025-01-03,SSJU,C001056
"Privacy, Technology, and the Law",SSJU28,,2025-01-03,SSJU,C001056
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,C001113
Health Care,SSFI10,,2025-01-03,SSFI,C001113
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C001113
Energy,SSEG01,,2025-01-03,SSEG,C001113
"Public Lands, Forests, and Mining",SSEG03,,2025-01-03,SSEG,C001113
Water and Power,SSEG07,,2025-01-03,SSEG,C001113
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,C001113
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,C001113
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,C001113
Airland,SSAS14,,2025-01-03,SSAS,C001095
Emerging Threats and Capabilities,SSAS20,,2025-01-03,SSAS,C001095
Strategic Forces,SSAS16,,2025-01-03,SSAS,C001095
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,C001095
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,C001095
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,C001095
Intellectual Property,SSJU26,,2025-01-03,SSJU,C001095
"Fisheries, Water, and Wildlife",SSEV15,,2025-01-03,SSEV,C001096
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,C001096
Readiness and Management Support,SSAS15,,2025-01-03,SSAS,C001096
Seapower,SSAS13,,2025-01-03,SSAS,C001096
Strategic Forces,SSAS16,,2025-01-03,SSAS,C001096
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,C001096
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,C001096
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2025-01-03,SSEV,C001096
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,C000880
Fiscal Responsibility and Economic Growth,SSFI14,,2025-01-03,SSFI,C000880
Health Care,SSFI10,,2025-01-03,SSFI,C000880
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,C000880
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,C000880
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,C000880
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,C000880
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,C000880
"Securities, Insurance, and Investment",SSBK04,,2025-01-03,SSBK,C000880
the Constitution,SSJU21,,2025-01-03,SSJU,C001098
"Aviation Safety, Operations, and Innovation",SSCM33,,2025-01-03,SSCM,C001098
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,C001098
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,C001098
"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM36,,2025-01-03,SSCM,C001098
Space and Science,SSCM37,,2025-01-03,SSCM,C001098
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,C001098
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,C001098
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,C001098
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2025-01-03,SSFR,C001098
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2025-01-03,SSJU,C001098
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2025-01-03,SSFR,C001098
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2025-01-03,SSFR,C001098
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,C001098
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,D000618
Health Care,SSFI10,,2025-01-03,SSFI,D000618
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,D000618
National Parks,SSEG04,,2025-01-03,SSEG,D000618
"Public Lands, Forests, and Mining",SSEG03,,2025-01-03,SSEG,D000618
Economic Policy,SSBK12,,2025-01-03,SSBK,D000618
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,D000618
"Aviation Safety, Operations, and Innovation",SSCM33,,2025-01-03,SSCM,D000622
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,D000622
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,D000622
Airland,SSAS14,,2025-01-03,SSAS,D000622
Cybersecurity,SSAS21,,2025-01-03,SSAS,D000622
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,D000622
Personnel,SSAS17,,2025-01-03,SSAS,D000622
Readiness and Management Support,SSAS15,,2025-01-03,SSAS,D000622
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,D000622
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2025-01-03,SSFR,D000622
Europe and Regional Security Cooperation,SSFR01,,2025-01-03,SSFR,D000622
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2025-01-03,SSFR,D000622
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,D000563
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,D000563
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,D000563
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,D000563
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,D000563
Defense,SSAP02,,2025-01-03,SSAP,D000563
Energy and Water Development,SSAP22,,2025-01-03,SSAP,D000563
Financial Services and General Government,SSAP23,,2025-01-03,SSAP,D000563
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,D000563
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,E000295
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,E000295
Airland,SSAS14,,2025-01-03,SSAS,E000295
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,E000295
Cybersecurity,SSAS21,,2025-01-03,SSAS,E000295
Emerging Threats and Capabilities,SSAS20,,2025-01-03,SSAS,E000295
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-09-28,SSAP,F000062
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2023-09-28,SSAP,F000062
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-09-28,SSAP,F000062
Defense,SSAP02,,2023-09-28,SSAP,F000062
Energy and Water Development,SSAP22,,2023-09-28,SSAP,F000062
Criminal Justice and Counterterrorism,SSJU22,,2023-09-28,SSJU,F000062
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2023-09-28,SSJU,F000062
Human Rights and the Law,SSJU27,,2023-09-28,SSJU,F000062
"Interior, Environment, and Related Agencies",SSAP17,,2023-09-28,SSAP,F000062
the Constitution,SSJU21,,2023-09-28,SSJU,F000062
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,F000479
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,F000479
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,F000479
Economic Policy,SSBK12,,2025-01-03,SSBK,F000479
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,F000479
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,F000479
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2025-01-03,SSEV,F000479
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,F000463
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,F000463
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,F000463
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,F000463
Airland,SSAS14,,2025-01-03,SSAS,F000463
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,F000463
Space and Science,SSCM37,,2025-01-03,SSCM,F000463
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,F000463
Readiness and Management Support,SSAS15,,2025-01-03,SSAS,F000463
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2025-01-03,SSAP,F000463
Strategic Forces,SSAS16,,2025-01-03,SSAS,F000463
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,F000463
"Interior, Environment, and Related Agencies",SSAP17,,2025-01-03,SSAP,F000463
Legislative Branch,SSAP08,,2025-01-03,SSAP,F000463
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,G000555
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,G000555
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,G000555
Cybersecurity,SSAS21,,2025-01-03,SSAS,G000555
Emerging Threats and Capabilities,SSAS20,,2025-01-03,SSAS,G000555
Strategic Forces,SSAS16,,2025-01-03,SSAS,G000555
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,G000359
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,G000359
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,G000359
Defense,SSAP02,,2025-01-03,SSAP,G000359
Energy and Water Development,SSAP22,,2025-01-03,SSAP,G000359
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,G000359
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2025-01-03,SSEV,G000359
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,G000386
Fiscal Responsibility and Economic Growth,SSFI14,,2025-01-03,SSFI,G000386
Health Care,SSFI10,,2025-01-03,SSFI,G000386
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,G000386
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,G000386
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,G000386
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,G000386
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2025-01-03,SSJU,G000386
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,G000386
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,H000601
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,H000601
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,H000601
"East Asia, the Pacific, and International Cybersecurity Policy",SSFR02,,2025-01-03,SSFR,H000601
Energy and Water Development,SSAP22,,2025-01-03,SSAP,H000601
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2025-01-03,SSFR,H000601
Financial Services and General Government,SSAP23,,2025-01-03,SSAP,H000601
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2025-01-03,SSFR,H000601
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,H000601
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,H000601
"Securities, Insurance, and Investment",SSBK04,,2025-01-03,SSBK,H000601
Children and Families,SSHR09,,2025-01-03,SSHR,H001076
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,H001076
Permanent Subcommittee on Investigations,SSGA01,,2025-01-03,SSGA,H001076
Fiscal Responsibility and Economic Growth,SSFI14,,2025-01-03,SSFI,H001076
Emerging Threats and Spending Oversight,SSGA20,,2025-01-03,SSGA,H001076
Health Care,SSFI10,,2025-01-03,SSFI,H001076
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,H001076
Permanent Subcommittee on Investigations,SSGA01,,2025-01-03,SSGA,H001089
Energy,SSEG01,,2025-01-03,SSEG,H001089
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,H001089
"Public Lands, Forests, and Mining",SSEG03,,2025-01-03,SSEG,H001089
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2025-01-03,SSJU,H001089
Human Rights and the Law,SSJU27,,2025-01-03,SSJU,H001089
"Privacy, Technology, and the Law",SSJU28,,2025-01-03,SSJU,H001089
