,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TRANSPORTATION AND INFRASTRUCTURE,"BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION",JUDICIARY,RULES AND ADMINISTRATION,"COMMUNICATIONS, MEDIA, AND BROADBAND","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY",CRIMINAL JUSTICE AND COUNTERTERRORISM,"IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW",RURAL DEVELOPMENT AND ENERGY,"SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION",TAXATION AND IRS OVERSIGHT,ARMED SERVICES,"COMMODITIES, RISK MANAGEMENT, AND TRADE",CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,STRATEGIC FORCES,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT",PRIMARY HEALTH AND RETIREMENT SECURITY,APPROPRIATIONS,DEFENSE,ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",THE CONSTITUTION,EMPLOYMENT AND WORKPLACE SAFETY,"OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION","SECURITIES, INSURANCE, AND INVESTMENT",HUMAN RIGHTS AND THE LAW,INTELLECTUAL PROPERTY,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT","MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES","AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","INTERIOR, ENVIRONMENT, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,WATER AND POWER,AIRLAND,HOMELAND SECURITY,NATIONAL PARKS,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,READINESS AND MANAGEMENT SUPPORT,SEAPOWER,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES",LEGISLATIVE BRANCH,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","PUBLIC LANDS, FORESTS, AND MINING",GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,PERSONNEL,EMERGING THREATS AND SPENDING OVERSIGHT,
23,Patty Murray,Washington,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,,,4.0,8.0,4.0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,
24,Dianne Feinstein,California,,,,,,,,,,,,,,,,,10.0,10.0,,,,,3.0,,,,,,,,,,,,,,,,,,10.0,3.0,3.0,,,,3.0,,,,3.0,,,3.0,,,,,,3.0,,,,3.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,
25,Jack Reed,Rhode Island,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,3.0,,3.0,,10.0,3.0,,,3.0,,3.0,,,,,,,,,,,,3.0,,,,3.0,,3.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,
26,Jon Tester,Montana,,,,,,,,,,,11.0,11.0,,,,11.0,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,11.0,4.0,4.0,,,,,,,,,,,,,,,4.0,4.0,,,,4.0,4.0,4.0,,,,,4.0,,,,,,,,,4.0,,,,,,,,,
27,Jeanne Shaheen,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,4.0,,,,,,,,13.0,4.0,4.0,,4.0,4.0,,13.0,13.0,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,4.0,,,4.0,4.0,4.0,,,,,,
28,Jeff Merkley,Oregon,,12.0,12.0,,5.0,,,,,5.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,5.0,,5.0,5.0,,12.0,,5.0,,,,,,,,,,,,5.0,,5.0,5.0,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,
29,Christopher A. Coons,Delaware,,,,,,,,,,,,,,,,,15.0,,,4.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,15.0,,4.0,4.0,,4.0,4.0,15.0,15.0,4.0,,,4.0,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,4.0,,,,4.0,,4.0,,,,,
30,Brian Schatz,Hawaii,,,,,,,,,,,,,,,,13.0,,,3.0,,,3.0,,,,,3.0,,,,,,,,,,,,,,13.0,3.0,,,3.0,3.0,3.0,13.0,,3.0,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,3.0,,3.0,,,,,
31,Tammy Baldwin,Wisconsin,,,,,,,,,,,,,,,,12.0,,,3.0,,,3.0,,,,,3.0,,,,,,,,12.0,,,,,3.0,12.0,3.0,3.0,,3.0,,,,,,,,,,3.0,3.0,,,,,,,3.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,
32,Christopher Murphy,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,,,,3.0,12.0,3.0,,,3.0,3.0,3.0,12.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,3.0,,3.0,,,,,,
33,Joe Manchin III,West Virginia,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,9.0,,4.0,,4.0,,,,,,,9.0,,,4.0,4.0,,4.0,,,,,,,,,,,,,,,,4.0,4.0,,9.0,,,4.0,,,,,,,,4.0,,,,,,,,,,,
34,Chris Van Hollen,Maryland,,12.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,12.0,,,4.0,,4.0,4.0,12.0,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,4.0,,,,,
35,Martin Heinrich,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,8.0,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,
36,Gary C. Peters,Michigan,,,,,,,,,,,,,,,,12.0,,,4.0,,,,,,,,4.0,,,12.0,,4.0,4.0,,,,,,,,12.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,4.0,4.0,,,,4.0,4.0,,12.0,,,4.0,,4.0,,,,,,,,,,,
37,Susan M. Collins,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,2.0,6.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
38,Lisa Murkowski,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,,,,3.0,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,,3.0,11.0,3.0,,,3.0,3.0,,,,,,3.0,,,,,,,3.0,,,,
39,Lindsey Graham,South Carolina,,7.0,7.0,,4.0,,,,,4.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jerry Moran,Kansas,,,,,,,,,,,,10.0,,,,10.0,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,10.0,3.0,,,3.0,3.0,3.0,,,,,,,,,3.0,,3.0,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
41,Shelley Moore Capito,West Virginia,,,9.0,,,,,,,,,,,,,9.0,,9.0,4.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,9.0,4.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,,
42,John Kennedy,Louisiana,,13.0,,,,,,,,,13.0,,,,,,13.0,,,,,,5.0,,5.0,,,,,,,,,,,,5.0,,5.0,,13.0,,5.0,5.0,5.0,,5.0,,13.0,,5.0,,,,,,,,5.0,5.0,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,
43,Bill Hagerty,Tennessee,,,,,,,,,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,4.0,,11.0,,4.0,4.0,,4.0,,11.0,,,,,4.0,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,4.0,,4.0,,4.0,,4.0,,,,,
44,Katie Boyd Britt,Alabama,,,,,,,,,,,8.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,,8.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,3.0,,3.0,,,,,,,,,
45,Marco Rubio,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,3.0,3.0,3.0,,8.0,8.0,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,3.0,,3.0,,,,,,
46,Richard Blumenthal,Connecticut,,,,,,,,,,,,11.0,,,,,11.0,,,4.0,,,,,4.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,4.0,,,,,,,,,4.0,,,11.0,4.0,4.0,4.0,,,,,,,,,,4.0,4.0,,
47,Mazie K. Hirono,Hawaii,,,,,,,,,,,,11.0,,,,,11.0,,,5.0,,,,5.0,5.0,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0,,5.0,,,,,,,,,,5.0,,,,,11.0,5.0,,,,5.0,,,5.0,5.0,,,,,,,,,5.0,,5.0,,
48,Tim Kaine,Virginia,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,9.0,4.0,,,,,,,,,,,,9.0,,,,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,4.0,4.0,,,,4.0,,
49,Angus S. King Jr.,Maine,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,3.0,,3.0,,,,3.0,,,,,,,,,3.0,,,,
50,Elizabeth Warren,Massachusetts,,,,8.0,,,,3.0,,,8.0,,,,,,,,,,,,,,,,,,3.0,8.0,,,3.0,3.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
51,Tammy Duckworth,Illinois,,,,,,,,,,,,,,,,12.0,,,4.0,,,4.0,,,,,4.0,4.0,,12.0,,4.0,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,4.0,,,,,,4.0,4.0,,4.0,,,4.0,,
52,Jacky Rosen,Nevada,,,,,,,,,,,,,,,,7.0,,,4.0,,,,,,,,,4.0,,7.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,7.0,,,,,,,,,4.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,4.0,
53,Mark Kelly,Arizona,,,10.0,,3.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,10.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,3.0,3.0,,3.0,,,3.0,,,,,,,,,,3.0,,,,
54,Roger F. Wicker,Mississippi,,,7.0,,4.0,,,,,4.0,,,,,,7.0,,7.0,4.0,,,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tom Cotton,Arkansas,,,,,,,,,,,,,,,,,7.0,,,2.0,,,2.0,2.0,,,,,,7.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
56,Mike Rounds,South Dakota,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,6.0,,3.0,,3.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
57,Dan Sullivan,Alaska,,,10.0,,4.0,,4.0,,,,,10.0,,,,10.0,,,4.0,,,4.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,4.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,4.0,,
58,Kevin Cramer,North Dakota,,,8.0,,4.0,,4.0,,,4.0,8.0,8.0,,,,,,,,,,,,,,,,,,8.0,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,4.0,,,,,,,,,
59,Rick Scott,Florida,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,3.0,,3.0,,,,,,,,,,,3.0,3.0,
60,Tim Scott,South Carolina,,,,6.0,,4.0,,4.0,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,
61,Markwayne Mullin,Oklahoma,,,8.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,8.0,,,3.0,,8.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,
62,Ted Budd,North Carolina,,,,,,,,,,,,,,,,9.0,,,4.0,,,4.0,,,,,4.0,4.0,,9.0,,4.0,4.0,,9.0,,,,,4.0,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
63,Eric Schmitt,Missouri,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,2.0,,,6.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
64,Robert Menendez,New Jersey,,,,6.0,,,,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,3.0,,,,,,,,,6.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
