,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TAXATION AND IRS OVERSIGHT,TRANSPORTATION AND INFRASTRUCTURE,APPROPRIATIONS,JUDICIARY,RULES AND ADMINISTRATION,"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES",CRIMINAL JUSTICE AND COUNTERTERRORISM,DEFENSE,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH",HOMELAND SECURITY,INTELLECTUAL PROPERTY,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"COMMODITIES, RISK MANAGEMENT, AND TRADE",RURAL DEVELOPMENT AND ENERGY,"SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION","COMMUNICATIONS, MEDIA, AND BROADBAND","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY","IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW","SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE",ARMED SERVICES,CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,PERSONNEL,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,EMPLOYMENT AND WORKPLACE SAFETY,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT","SECURITIES, INSURANCE, AND INVESTMENT",ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",PRIMARY HEALTH AND RETIREMENT SECURITY,SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION",FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,NATIONAL PARKS,WATER AND POWER,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT",READINESS AND MANAGEMENT SUPPORT,"PUBLIC LANDS, FORESTS, AND MINING",STRATEGIC FORCES,LEGISLATIVE BRANCH,HUMAN RIGHTS AND THE LAW,THE CONSTITUTION,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,SEAPOWER,"WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",AIRLAND,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,EMERGING THREATS AND SPENDING OVERSIGHT,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,
16,Roger Marshall,Kansas,7.0,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,7.0,,,,,4.0,,,,,7.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,
17,Tommy Tuberville,Alabama,8.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,8.0,4.0,4.0,,,,,,,,,,8.0,,4.0,4.0,8.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
18,Chuck Grassley,Iowa,6.0,6.0,,6.0,,,4.0,4.0,4.0,,,6.0,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,John Thune,South Dakota,10.0,,,10.0,,,3.0,3.0,3.0,,,,,,,,3.0,,,,,,,,3.0,,,,3.0,,,10.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Deb Fischer,Nebraska,10.0,,,,,,,,,,,,10.0,,,,,,,,4.0,,,,4.0,,,,,4.0,,10.0,4.0,,,,4.0,,,10.0,,4.0,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,
21,Mike Braun,Indiana,10.0,10.0,,,,,,,,,10.0,,,4.0,4.0,,4.0,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,10.0,,,4.0,,,,,4.0,4.0,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
22,Patty Murray,Washington,,6.0,,,,,,,,,6.0,,,,,,,,4.0,,,4.0,,,,,,6.0,,,,,,,,,,,,,,,,6.0,,,,,,4.0,,4.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
23,Dianne Feinstein,California,,,,,,,,,,,10.0,10.0,10.0,3.0,3.0,,,3.0,3.0,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,
24,Jack Reed,Rhode Island,,,,,,,,,,,10.0,,,,3.0,,,,3.0,,,,,3.0,,,10.0,,,,,,,,,,,,,10.0,,,,,,3.0,,3.0,3.0,,,3.0,3.0,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
25,Jon Tester,Montana,,,,,,,,,,,13.0,,,4.0,,,,,4.0,,,4.0,,4.0,,,13.0,13.0,,,,13.0,4.0,,,,4.0,4.0,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,
26,Jeanne Shaheen,New Hampshire,,,,,,,,,,,13.0,,,,4.0,,,,4.0,,,4.0,,,,4.0,,,,,,,,,,,,,,13.0,,4.0,,,,,,,,4.0,,4.0,,13.0,13.0,,4.0,4.0,,,,,,,,,,,,4.0,,,,,,,4.0,4.0,4.0,,,,,,,,,
27,Jeff Merkley,Oregon,,12.0,12.0,,5.0,,,,,5.0,12.0,,12.0,5.0,5.0,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,12.0,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,5.0,,,,,,,,
28,Christopher A. Coons,Delaware,,,,,,,,,,,14.0,14.0,,,4.0,,,,,,,,4.0,,,4.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,4.0,4.0,,4.0,14.0,14.0,4.0,4.0,,,,,,,4.0,,,,,,,,,,4.0,,,4.0,,,4.0,,,,,,,,
29,Brian Schatz,Hawaii,,,,,,,,,,,13.0,,,3.0,3.0,,,,3.0,,,,,,,,,,,,,13.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,3.0,3.0,13.0,,,3.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,
30,Tammy Baldwin,Wisconsin,,,,,,,,,,,12.0,,,3.0,,,,,3.0,,,3.0,,,,,,,,,,12.0,3.0,3.0,,,3.0,,,,,,,12.0,,,3.0,,,3.0,,3.0,,,,,,,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
31,Christopher Murphy,Connecticut,,,,,,,,,,,11.0,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,11.0,3.0,,,,,,,3.0,3.0,11.0,,,,3.0,,3.0,,,,,,,,,,,,,3.0,,,,3.0,,,3.0,3.0,,,,,,,
32,Joe Manchin III,West Virginia,,,,,,,,,,,8.0,,,,4.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,8.0,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,4.0,8.0,,,,,,,4.0,,,,,,,,,,4.0,,,,,,
33,Chris Van Hollen,Maryland,,11.0,,,,,,,,,11.0,,,,4.0,,,,,,,,,4.0,,4.0,11.0,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,4.0,,4.0,11.0,,4.0,,4.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,
34,Martin Heinrich,New Mexico,,,,,,,,,,,8.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,8.0,2.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,
35,Richard C. Shelby,Alabama,,,12.0,,4.0,,,,,4.0,12.0,,12.0,,,,,,4.0,,,4.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,4.0,4.0,,,,,,,,,,4.0,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,
36,Susan M. Collins,Maine,,,,,,,,,,,8.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,,,,,2.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
37,Lisa Murkowski,Alaska,,,,,,,,,,,11.0,,,,3.0,,,,3.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,11.0,3.0,,,,,3.0,,,,,,,,,,3.0,,,,3.0,11.0,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,
38,Lindsey Graham,South Carolina,,13.0,13.0,,4.0,,,,,4.0,13.0,13.0,,,4.0,,,4.0,4.0,4.0,,,,,,4.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,4.0,,4.0,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
39,Roy Blunt,Missouri,,,,,,,,,,,10.0,,10.0,3.0,,,,,3.0,,,,,3.0,,3.0,,,,,,10.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jerry Moran,Kansas,,,,,,,,,,,15.0,,,5.0,5.0,,,,5.0,,,,,,,5.0,15.0,15.0,,,,15.0,5.0,5.0,,,,,,,,,,15.0,5.0,,,5.0,5.0,,5.0,5.0,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,Shelley Moore Capito,West Virginia,,,10.0,,,,,,,,10.0,,10.0,,4.0,,,,,,,4.0,,4.0,,,,,,,,10.0,4.0,,,,4.0,4.0,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
42,John Kennedy,Louisiana,,14.0,,,,,,,,,14.0,14.0,,,5.0,,,5.0,,5.0,,5.0,,,,,14.0,,,,,,,,5.0,5.0,,,,,,,,,,5.0,,,5.0,5.0,5.0,5.0,5.0,,14.0,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,
43,Bill Hagerty,Tennessee,,,,,,,,,,,12.0,,12.0,,4.0,,,,,,,,,4.0,,4.0,12.0,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,12.0,,,,4.0,,,,,4.0,4.0,,,,,,,,,,,,4.0,,,4.0,4.0,4.0,,,,,,,
44,Marco Rubio,Florida,,,,,,,,,,,8.0,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,8.0,8.0,3.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,,3.0,,3.0,,,,,,,
45,Richard Blumenthal,Connecticut,,,,,,,,,,,,12.0,,,,4.0,,,,,,,,,,,,12.0,,,,12.0,4.0,4.0,4.0,,4.0,,,12.0,4.0,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,4.0,,,,4.0,4.0,,,4.0,,,,,,,,,,
46,Mazie K. Hirono,Hawaii,,,,,,,,,,,,10.0,,,,,,,,5.0,,,5.0,,,,,10.0,,,,,,,5.0,5.0,,,,10.0,,,5.0,,,,,,,,,,,,10.0,,,,,,,,,,10.0,5.0,5.0,,,5.0,5.0,,,,,,,5.0,,,,,,,,,,
47,Tim Kaine,Virginia,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,8.0,4.0,,,,,,,,,8.0,,4.0,,,,4.0,,,,,,,,,,4.0,,,,,,,,4.0,4.0,,4.0,,,,,,,
48,Angus S. King Jr.,Maine,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,3.0,,,,3.0,3.0,,,,,,3.0,,,,3.0,,,,,,
49,Elizabeth Warren,Massachusetts,,,,9.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,9.0,,3.0,3.0,,,3.0,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,
50,Gary C. Peters,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,,3.0,,,7.0,,3.0,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,3.0,,,,3.0,,7.0,,,,
51,Tammy Duckworth,Illinois,,,10.0,,4.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,,,,4.0,4.0,,10.0,,,,,,,,,,,,,,,10.0,,,,,,,4.0,,,,,,,,4.0,,4.0,,,,,,,,,,4.0,,,,,,
52,Jacky Rosen,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,,,,,5.0,,9.0,5.0,,,9.0,,,5.0,,,,,,,,9.0,,,,,5.0,,5.0,,,,,,,,,,5.0,,,,,,,,,,5.0,,9.0,5.0,,,
53,Mark Kelly,Arizona,,,9.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,3.0,3.0,,3.0,3.0,,,,,,,,,,3.0,,,,,,
54,James M. Inhofe,Oklahoma,,,3.0,,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Roger F. Wicker,Mississippi,,,6.0,,4.0,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,4.0,,,,,,
56,Tom Cotton,Arkansas,,,,,,,,,,,,7.0,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,
57,Mike Rounds,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,9.0,4.0,,,,,,,4.0,4.0,,,,,9.0,,4.0,4.0,,,,,,4.0,,,,,,,4.0,,4.0,,,,,,,,4.0,,,,,,,,
58,Thom Tillis,North Carolina,,,,,,,,,,,,10.0,,,,4.0,,,,4.0,,,4.0,,,,10.0,10.0,,,,,,,4.0,,,,,10.0,,,4.0,,,4.0,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,
59,Dan Sullivan,Alaska,,,10.0,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,10.0,,,,10.0,4.0,,,,4.0,4.0,,10.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,4.0,,4.0,,,,,,,,,,4.0,,,,,,
60,Kevin Cramer,North Dakota,,9.0,9.0,,5.0,5.0,,,,5.0,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,9.0,,5.0,,,,5.0,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,
61,Rick Scott,Florida,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,,,4.0,4.0,,9.0,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,,9.0,4.0,4.0,,
62,Tim Scott,South Carolina,,,,8.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,4.0,,,,,8.0,,4.0,4.0,,4.0,,,,,,8.0,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,Marsha Blackburn,Tennessee,,,,,,,,,,,,11.0,,,,4.0,,,,,,,4.0,,,,,11.0,,,,11.0,4.0,4.0,4.0,4.0,,4.0,,11.0,4.0,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
